id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
600,Lam5-a2,Lâm-á,Lam5-a2,Lâm-á,楠仔,195
601,Hiunn-lam5,Hiuⁿ-lâm,Hiunn-lam5,Hiunn-lâm,香楠,195
602,Chhau3-sai2-lam5,Chhàu-sái-lâm,Tshau3-sai2-lam5,Tshàu-sái-lâm,臭屎楠,195
603,Soe3-hioh8-lam5,Sòe-hio̍h-lâm,Sue3-hioh8-lam5,Suè-hio̍h-lâm,細葉楠,195
604,Ti-kha-lam5,Ti-kha-lâm,Ti-kha-lam5,Ti-kha-lâm,猪脚楠,195
605,Lam5-a2,Lâm-á,Lam5-a2,Lâm-á,楠仔,195
606,Lam5-a2,Lâm-á,Lam5-a2,Lâm-á,楠仔,196
607,Lai5-tang-chi2-lam5,Lâi-tang-chí-lâm,Lai5-tang-tsi2-lam5,Lâi-tang-tsí-lâm,內冬子楠,196
608,He2-thoann3-lam5-a2,Hé-thòaⁿ-lâm-á,He2-thuann3-lam5-a2,Hé-thuànn-lâm-á,火炭楠仔,196
609,Lai7-thoann3-chi2-lam5,Lāi-thòaⁿ-chí-lâm,Lai7-thuann3-tsi2-lam5,Lāi-thuànn-tsí-lâm,內炭子楠,196
610,Iu5-hioh8-lam5,Iû-hio̍h-lâm,Iu5-hioh8-lam5,Iû-hio̍h-lâm,油葉楠,196
611,Hiunn-kui3,Hiuⁿ-kùi,Hiunn-kui3,Hiunn-kuì,香桂,196
612,Tek-hioh8-lam5,Tek-hio̍h-lâm,Tik-hioh8-lam5,Tik-hio̍h-lâm,竹葉楠,197
613,Goo7-chiunn2-lam5-a2,Gō͘-chiúⁿ-lâm-á,Goo7-tsiunn2-lam5-a2,Gōo-tsiúnn-lâm-á,五掌楠仔,197
614,Goo7-hioh8-lam5-a2,Gō͘-hio̍h-lâm-á,Goo7-hioh8-lam5-a2,Gōo-hio̍h-lâm-á,五葉楠仔,197
615,Oo-hun-hoe,O͘-hun-hoe,Oo-hun-hue,Oo-hun-hue,烏煙花,198
616,Soann-kam-a2,Soaⁿ-kam-á,Suann-kam-a2,Suann-kam-á,山柑仔,198
617,O5-khak-a2,Ô-khak-á,O5-khak-a2,Ô-khak-á,蠔殼仔,199
618,Soann-kam-a2,Soaⁿ-kam-á,Suann-kam-a2,Suann-kam-á,山柑仔,199
619,Gu5-kak-oai,Gû-kak-oai,Gu5-kak-uai,Gû-kak-uai,牛角歪,199
620,Sann-kha-tiau7,Saⁿ-kha-tiāu,Sann-kha-tiau7,Sann-kha-tiāu,三脚掉,199
621,Sann-kha-phi5,Saⁿ-kha-phî,Sann-kha-phi5,Sann-kha-phî,三脚皮,199
622,Sann-kha-piat8,Saⁿ-kha-pia̍t,Sann-kha-piat8,Sann-kha-pia̍t,三脚別,199
623,Sann-kha-pih,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,三脚鼈,199
624,Peh8-hoe-a2-chhai3,Pe̍h-hoe-á-chhài,Peh8-hue-a2-tshai3,Pe̍h-hue-á-tshài,白花仔菜,199
625,Hiong3-thian-hong5,Hiòng-thian-hông,Hiong3-thian-hong5,Hiòng-thian-hông,向天黃,199
626,Inn5-chhai3-thau5,Îⁿ-chhài-thâu,Inn5-tshai3-thau5,Înn-tshài-thâu,圓菜頭,200
627,Koa3-chhai3,Kòa-chhài,Kua3-tshai3,Kuà-tshài,芥菜,200
628,Toa7-chhai3,Tōa-chhài,Tua7-tshai3,Tuā-tshài,大菜,200
629,Ko-le5-chhai3,Ko-lê-chhài,Ko-le5-tshai3,Ko-lê-tshài,高麗菜,201
630,Chhai3-hoe,Chhài-hoe,Tshai3-hue,Tshài-hue,菜花,201
631,Peh8-chhai3,Pe̍h-chhài,Peh8-tshai3,Pe̍h-tshài,白菜,201
632,Kng2-sim-peh8-chhai3,Kńg-sim-pe̍h-chhài,Kng2-sim-peh8-tshai3,Kńg-sim-pe̍h-tshài,卷心白菜,201
633,Peh8-kut-soann-koah-chhau3,Pe̍h-kut-soaⁿ-koah-chhàu,Peh8-kut-suann-kuah-tshau3,Pe̍h-kut-suann-kuah-tshàu,白骨山葛草,202
634,Soann-koa3-chhai3,Soaⁿ-kòa-chhài,Suann-kua3-tshai3,Suann-kuà-tshài,山芥菜,202
635,Chhai3-thau5,Chhài-thâu,Tshai3-thau5,Tshài-thâu,菜頭,202
636,Lai5-hok8,Lâi-ho̍k,Lai5-hok8,Lâi-ho̍k,萊菔,202
637,To3-tiau3-lian5,Tò-tiàu-liân,To3-tiau3-lian5,Tò-tiàu-liân,倒？蓮,204
638,Chhinn-to-chhau2,Chhiⁿ-to-chháu,Tshinn-to-tshau2,Tshinn-to-tsháu,生刀草,204
639,Chhinn-to-ioh8,Chhiⁿ-to-io̍h,Tshinn-to-ioh8,Tshinn-to-io̍h,生刀藥,204
640,Kha-bak-chhau2,Kha-bak-chháu,Kha-bak-tshau2,Kha-bak-tsháu,脚目草,204
641,Kha-bu2-chhau2,Kha-bú-chháu,Kha-bu2-tshau2,Kha-bú-tsháu,脚母草,204
642,Toa7-hoan-hun5,Tōa-hoan-hûn,Tua7-huan-hun5,Tuā-huan-hûn,大翻魂、大番魂,204
643,To3-tiau3-lian5,Tò-tiàu-liân,To3-tiau3-lian5,Tò-tiàu-liân,倒？蓮,204
644,Peh8-poo-kiunn,Pe̍h-po͘-kiuⁿ,Peh8-poo-kiunn,Pe̍h-poo-kiunn,白埔姜,207
645,Siong5-san,Siông-san,Siong5-san,Siông-san,常山,207
646,Siong5-san,Siông-san,Siong5-san,Siông-san,常山,207
647,Siong5-san-chhiu7,Siông-san-chhiū,Siong5-san-tshiu7,Siông-san-tshiū,常山樹,207
648,Siong5-san-ni5,Siông-san-nî,Siong5-san-ni5,Siông-san-nî,常山尼,207
649,Soann-koa3-chhai3,Soaⁿ-kòa-chhài,Suann-kua3-tshai3,Suann-kuà-tshài,山芥菜,208
650,Hoo5-hi7-chhau2,Hô͘-hī-chháu,Hoo5-hi7-tshau2,Hôo-hī-tsháu,虎耳草,209
651,Kim-hi7-chhau2,Kim-hī-chháu,Kim-hi7-tshau2,Kim-hī-tsháu,錦耳草,209
652,Chhit-li2-hiong,Chhit-lí-hiong,Tshit-li2-hiong,Tshit-lí-hiong,七里香,209
653,Png-a2,Png-á,Png-a2,Png-á,楓仔,210
654,Phng-siu7,Phng-siū,Phng-siu7,Phng-siū,楓樹,210
655,He7-be5,Hē-bê,He7-be5,Hē-bê,夏粥,211
656,Soann-gi5-pe5,Soaⁿ-gî-pê,Suann-gi5-pe5,Suann-gî-pê,山枇杷,211
657,Gi5-pe5,Gî-pê,Gi5-pe5,Gî-pê,枇杷,211
658,Choa5-po5,Chôa-pô,Tsua5-po5,Tsuâ-pô,蛇婆,211
659,Leng5-thoo3-chu,Lêng-thò͘-chu,Ling5-thoo3-tsu,Lîng-thòo-tsu,龍吐珠,211
660,Choa5-pho,Chôa-pho,Tsua5-pho,Tsuâ-pho,蛇波,211
661,Hai2-tong5,Hái-tông,Hai2-tong5,Hái-tông,海棠,212
662,Soann-siann-cha,Soaⁿ-siaⁿ-cha,Suann-siann-tsa,Suann-siann-tsa,山仙查,212
663,Siap-lai5,Siap-lâi,Siap-lai5,Siap-lâi,澁梨,212
664,He5-be2,Hê-bé,He5-be2,Hê-bé,蝦尾,213
665,Soann-gu5-lin,Soaⁿ-gû-lin,Suann-gu5-lin,Suann-gû-lin,山牛乳,213
666,Soann-eng-tho5,Soaⁿ-eng-thô,Suann-eng-tho5,Suann-eng-thô,山櫻桃,213
667,Mui5-a2,Mûi-á,Mui5-a2,Muî-á,梅仔,214
668,Peh8-mui5,Pe̍h-mûi,Peh8-mui5,Pe̍h-muî,白梅,214
669,Tho5-a2,Thô-á,Tho5-a2,Thô-á,桃仔,214
670,Tho5-jin5,Thô-jîn,Tho5-jin5,Thô-jîn,桃仁,214
671,Li2-a2,Lí-á,Li2-a2,Lí-á,李仔,214
672,Soann-lai5,Soaⁿ-lâi,Suann-lai5,Suann-lâi,山梨,214
673,Chiau2-lai5,Chiáu-lâi,Tsiau2-lai5,Tsiáu-lâi,鳥梨,215
674,Chui2-lai5,Chúi-lâi,Tsui2-lai5,Tsuí-lâi,水梨,215
675,Lai5-a2,Lâi-á,Lai5-a2,Lâi-á,梨仔,215
676,Tiu5-chhun-hoe,Tiû-chhun-hoe,Tiu5-tshun-hue,Tiû-tshun-hue,綢春花,215
677,Toa7-kim-eng,Tōa-kim-eng,Tua7-kim-ing,Tuā-kim-ing,大金英,216
678,Kim-eng,Kim-eng,Kim-ing,Kim-ing,金英,216
679,Sio2-kim-eng,Sió-kim-eng,Sio2-kim-ing,Sió-kim-ing,小金英,217
680,Hoo2-m5-chhi3,Hó͘-m̂-chhì,Hoo2-m5-tshi3,Hóo-m̂-tshì,虎梅刺,218
681,Iam5-po5,Iâm-pô,Iam5-po5,Iâm-pô,鹽婆,220
682,Hoo2-m5-chhi3,Hó͘-m̂-chhì,Hoo2-m5-tshi3,Hóo-m̂-tshì,虎梅刺,220
683,Hoo2-m5-chhi3,Hó͘-m̂-chhì,Hoo2-m5-tshi3,Hóo-m̂-tshì,虎梅刺,221
684,Chhi3-mui5,Chhì-mûi,Tshi3-mui5,Tshì-muî,蕀梅,221
685,Ha5-phi5-lam5,Hâ-phî-lâm,Ha5-phi5-lam5,Hâ-phî-lâm,夏皮楠,222
686,Koe-bu2-chu,Koe-bú-chu,Kue-bu2-tsu,Kue-bú-tsu,鷄母珠,223
687,Koe-bu5-chin-chu,Koe-bû-chin-chu,Kue-bu5-tsin-tsu,Kue-bû-tsin-tsu,鷄母真珠,223
688,Koe-bu2-chu2,Koe-bú-chú,Kue-bu2-tsu2,Kue-bú-tsú,鷄母子,223
689,Ang5-chu-bok8,Âng-chu-bo̍k,Ang5-tsu-bok8,Âng-tsu-bo̍k,紅珠木,223
690,Siunn-si-a2,Siuⁿ-si-á,Siunn-si-a2,Siunn-si-á,相思仔,223
691,Hiong-si-siu7,Hiong-si-siū,Hiong-si-siu7,Hiong-si-siū,相思樹,223
692,Kim-hap8-hoan,Kim-ha̍p-hoan,Kim-hap8-huan,Kim-ha̍p-huan,金合歡,223
693,Gu5-kak-hoe,Gû-kak-hoe,Gu5-kak-hue,Gû-kak-hue,牛角花,223
694,Chhi3-kiu5-hoe,Chhì-kiû-hoe,Tshi3-kiu5-hue,Tshì-kiû-hue,刺毬花,223
695,Hoan-chhi3-a2,Hoan-chhì-á,Huan-tshi3-a2,Huan-tshì-á,蕃刺仔,223
696,Iunn5-kang-chhi3,Iûⁿ-kang-chhì,Iunn5-kang-tshi3,Iûnn-kang-tshì,羊牨刺,223
697,Sat-pin3-chhau2,Sat-pìn-chháu,Sat-pin3-tshau2,Sat-pìn-tsháu,虱篦草,223
698,Bian2-tian7-hap-hoan,Bián-tiān-hap-hoan,Bian2-tian7-hap-huan,Bián-tiān-hap-huan,緬甸合歡,224
699,Hoan-po5-chhiu7,Hoan-pô-chhiū,Huan-po5-tshiu7,Huan-pô-tshiū,蕃婆樹,224
700,Peh8-ki5-chhun,Pe̍h-kî-chhun,Peh8-ki5-tshun,Pe̍h-kî-tshun,白其春,224
701,Soann-thoo5-tau7,Soaⁿ-thô͘-tāu,Suann-thoo5-tau7,Suann-thôo-tāu,山土豆,224
702,Sin5-sit8-chhau2,Sîn-si̍t-chháu,Sin5-sit8-tshau2,Sîn-si̍t-tsháu,蠅翼草,224
703,Soe3-pun2-iu5-thiong5-sit8,Sòe-pún-iû-thiông-si̍t,Sue3-pun2-iu5-thiong5-sit8,Suè-pún-iû-thiông-si̍t,細本油蟲翼,224
