id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
9989,hiah,hiah,hiah,hiah,那麼,"Int ",,,"so that (much, many, good, etc. of something at a distance, = hiah-nih8, cf chiah)",
9990,hiah-e5,hiah-ê,hiah-e5,hiah-ê,那些,"Det ",,,those,
9991,hiah-nih8,hiah-ni̍h,hiah-nih8,hiah-ni̍h,那樣,"Int ",,,"that, so (much, many, good, etc, see hiah, cf chiah-nih8)",
9992,"Hiannh, hiannh","Hiannh, hiannh","Hiannh, hiannh","Hiannh, hiannh",," ",,,,
9993,hiahnn,hiahⁿ,hiahnn,hiahnn,拿,"V ",,,"carry, bring (of cloth or clothes)",
9994,hiahnn,hiahⁿ,hiahnn,hiahnn,受驚,"V ",,,"be startled, start (usually of a child, syn kiaN-tioh8)",
9995,"Hiam, hiam","Hiam, hiam","Hiam, hiam","Hiam, hiam",," ",,,,
9996,hiam,hiam,hiam,hiam,辣的,"SV ",,,"hot, peppery, pungent (taste)",
9997,hiam,hiam,hiam,hiam,辣的,"SV ",,,"pungent, ammoniac (smell, of child's urine)",
9998,hiam-bi7,hiam-bī,hiam-bi7,hiam-bī,辣味,"N ",,,"hot, peppery, pungent taste or smell",
9999,hiam2,hiám,hiam2,hiám,險,"SV ",,,"fortunate, lucky (to have just avoided trouble or escaped danger)",
10000,hiam2,hiám,hiam2,hiám,險,"Pmod ",,,"almost, nearly (met with disaster) <hiam2-si2 : almost died>",
10001,hiam2-ai3,hiám-aì,hiam2-ai3,hiám-ài,隘口,"N ",,,steep and narrow place,
10002,hiam2-hiam2 (-a2),hiám-hiám (-á),hiam2-hiam2 (-a2),hiám-hiám (-á),幾乎,"Pmod ",,,"almost, nearly",
10003,hiam2-iau3,hiám-iàu,hiam2-iau3,hiám-iàu,險要,"SV ",,,"critically important (military position, etc)",
10004,hiam2-iau3,hiám-iàu,hiam2-iau3,hiám-iàu,險要,"N ",,,strategic position,
10005,hiam2-ok,hiám-ok,hiam2-ok,hiám-ok,險惡,"SV ",,,dangerous (animal or person),
10006,hiam3,hiàm,hiam3,hiàm,喊,"V ",,,"call (person to come, or waken), shout",
10007,hiam3,hiàm,hiam3,hiàm,喊,"V ",,,"shoo (dogs, chickens, etc) away, call out (to drive away thieves)",
10008,hiam3-kio3,hiàm-kiò,hiam3-kio3,hiàm-kiò,喊叫,"V ",,,call out loudly,
10009,hiam5,hiâm,hiam5,hiâm,嫌,"V ",,,"complain, express dissatisfaction (about persons or things)",
10010,hiam5-gi5,hiâm-gî,hiam5-gi5,hiâm-gî,懷疑,"V ",,,suspect,
10011,hiam5-gi5,hiâm-gî,hiam5-gi5,hiâm-gî,懷疑,"N ",,,suspicion,
10012,hiam5-gi5-hoan7,hiâm-gî-hoān,hiam5-gi5-huan7,hiâm-gî-huān,嫌疑犯,"N ",ê,,a suspect,
10013,hiam5-ia3,hiâm-ià,hiam5-ia3,hiâm-ià,厭惡,"V ",,,"be ""sick and tired"" of (sthg)",
10014,hiam5-kho2,hiâm-khó,hiam5-kho2,hiâm-khó,嫌苦,"V ",,,be dissatisfied because of difficulty,
10015,hiam5-tang hiam5-sai,hiâm-tang hiâm-sai,hiam5-tang hiam5-sai,hiâm-tang hiâm-sai,出怨言,"Vph ",,,grumble at everything,
10016,"Hian, hian","Hian, hian","Hian, hian","Hian, hian",," ",,,,
10017,hian,hian,hian,hian,掀,"V ",,,"lift (cover, lid), open (box)",
10018,hian-khiong2,hian-khióng,hian-khiong2,hian-khióng,玄燕鷗,"N ",chiah,,"Philippine noddy, Anoüs stolidus pileatus",
10019,hian2,hián,hian2,hián,搖幌,"V ",,,"sway (car on rough road), roll (ship), be unsteady",
10020,hian2,hián,hian2,hián,搖幌,"SV ",,,unsteady,
10021,hian2,hián,hian2,hián,顯,"V ",,,"manifest, reveal",
10022,hian2,hián,hian2,hián,顯,"V ",,,perform (miracle),
10023,hian2-beng5,hián-bêng,hian2-bing5,hián-bîng,顯示,"V ",,,"show clearly, manifest",
10024,hian2-bi5-kiann3,hián-bî-kiàⁿ,hian2-bi5-kiann3,hián-bî-kiànn,顯微鏡,"N ",ki,,microscope,
10025,hian2-choo2 eng5-chong,hián-chó͘ êng-chong,hian2-tsoo2 ing5-tsong,hián-tsóo îng-tsong,光宗耀祖,"Sph ",,,bring glory to one's family name,
10026,hian2-eng5,hián-êng,hian2-ing5,hián-îng,顯榮耀,"VO ",,,manifest glory,
10027,hian2-hek,hián-hek,hian2-hik,hián-hik,顯赫,"SV ",,,"illustrious, manificent, splendid (of a great deed or its result)",
10028,hian2-hek,hián-hek,hian2-hik,hián-hik,顯赫,"N ",,,magnificence,
10029,hian2-hian7,hián-hiān,hian2-hian7,hián-hiān,顯現,"V ",,,"manifest, show forth",
10030,hian2-hian7,hián-hiān,hian2-hian7,hián-hiān,顯現,"N ",,,manifestation,
10031,Hian2-hian7-choeh,Hián-hiān-choeh,Hian2-hian7-tsueh,Hián-hiān-tsueh,顯現日,N Prot,,,Feast of the Epiphany (cf Chu2-hian2 chiam-le2),
10032,Hian2-hian7-cheh,Hián-hiān-cheh,Hian2-hian7-tseh,Hián-hiān-tseh,顯現日,N Prot,,,Feast of the Epiphany (cf Chu2-hian2 chiam-le2),
10033,hian2-iann2,hián-iáⁿ,hian2-iann2,hián-iánn,顯影,"VO ",,,develop (a photographic image),
10034,hian2-iann2-che,hián-iáⁿ-che,hian2-iann2-tse,hián-iánn-tse,顯影劑,"N ",,,developer (photographic),
10035,hian2-iau7,hián-iāu,hian2-iau7,hián-iāu,顯耀,"VO ",,,show forth glory,
10036,hian2-iong5,hián-iông,hian2-iong5,hián-iông,顯揚,"V ",,,make (one's name or ideas) famous,
10037,hian2-jian5,hián-jiân,hian2-jian5,hián-jiân,顯然,"SV ",,,"in the open, in public",
10038,hian2-jian5,hián-jiân,hian2-jian5,hián-jiân,顯然,"Smod ",,,"obviously, evidently",
10039,hian2-loo7,hián-lō͘,hian2-loo7,hián-lōo,顯露,"V ",,,disclose,
10040,hian2-seng3,hián-sèng,hian2-sing3,hián-sìng,顯聖,"VO ",,,"appear in visible form, materialize (spirit or god in answer to prayer)",
10041,hian2-si7,hián-sī,hian2-si7,hián-sī,顯示,"V ",,,"reveal, indicate",
10042,hian2-si7,hián-sī,hian2-si7,hián-sī,顯示,"N ",,,"manifestation, indication",
10043,hian2-tat8,hián-ta̍t,hian2-tat8,hián-ta̍t,顯達,"V ",,,become powerful or illustrious,
10044,hian2-tu3,hián-tù,hian2-tu3,hián-tù,顯著,"SV ",,,"obvious, prominent, remardable, striking",
10045,hian3,hiàn,hian3,hiàn,獻,"V ",,,"offer or persent (gift or token in a ceremony or ritual), dedicate",
10046,hian3-che3,hiàn-chè,hian3-tse3,hiàn-tsè,獻祭,"VO ",,,make a ritual offering,
10047,hian3-cheng3,hiàn-chèng,hian3-tsing3,hiàn-tsìng,憲政,"N ",,,constitutional government,
10048,hian3-gi5,hiàn-gî,hian3-gi5,hiàn-gî,獻儀," ",,,see Mi5-sat hian3-gi5,
10049,hian3-gi7,hiàn-gī,hian3-gi7,hiàn-gī,獻議,"VO ",,,"propose a motion (pref the5-an3, the5-gi7)",
10050,hian3-hiunn,hiàn-hiuⁿ,hian3-hiunn,hiàn-hiunn,上香,"VO ",,,offer incense,
10051,hian3-hoat,hiàn-hoat,hian3-huat,hiàn-huat,憲法,"N ",,,a constitution,
10052,hian3-kang,hiàn-kang,hian3-kang,hiàn-kang,奉獻(時間，工作),"VO ",,,offer one's time or labor (for the church or temple),
10053,hian3-kim,hiàn-kim,hian3-kim,hiàn-kim,獻金,"VO ",,,give offerings (of money),
10054,hian3-kim,hiàn-kim,hian3-kim,hiàn-kim,獻金,"N ",,,"offering, collection",
10055,hian3-kim-poann5,hiàn-kim-pôaⁿ,hian3-kim-puann5,hiàn-kim-puânn,獻金盤,"N ",tè,,"collection plate, offering plate",
10056,hian3-kim-siunn,hiàn-kim-siuⁿ,hian3-kim-siunn,hiàn-kim-siunn,獻金箱,"N ",kha,,"collection box, offering box",
10057,hian3-kim-te7,hiàn-kim-tē,hian3-kim-te7,hiàn-kim-tē,獻金袋,"N ","kha, ê",,"collection bag, offering bag",
10058,hian3-peng,hiàn-peng,hian3-ping,hiàn-ping,憲兵,"N ","ê, tūi",,military police,
10059,hian3-si,hiàn-si,hian3-si,hiàn-si,獻詩,"VO ",,,"offer a musical selection (anthem, solo, etc)",
10060,hian3-sim,hiàn-sim,hian3-sim,hiàn-sim,獻心,"VO ",,,"dedicate oneself, give ones heart",
10061,hian3-sin,hiàn-sin,hian3-sin,hiàn-sin,獻身,"VO ",,,"dedicate oneself, devote oneself ",
10062,hian3-tng5,hiàn-tn̂g,hian3-tng5,hiàn-tn̂g,獻堂,"VO ",,,dedicate a Church,
10063,hian5,hiân,hian5,hiân,弦,"N ",tiâu,,string for a musical instrument,
10064,hian5-a2,hiân-á,hian5-a2,hiân-á,弦,"N ",ki,,Chinese violin,
10065,hian5-chhe,hiân-chhe,hian5-tshe,hiân-tshe,賢妻,"Na ",,,"My good wife, My dear wife (only in letters)",
10066,hian5-chhe,hiân-chhe,hian5-tshe,hiân-tshe,賢妻,"Na ",,,good wife,
10067,hian5-chhe liong5-bo2,hiân-chhe liông-bó,hian5-tshe liong5-bo2,hiân-tshe liông-bó,賢妻良母,"N ",,,wise wife and good mother,
10068,hian5-chhu2,hiân-chhú,hian5-tshu2,hiân-tshú,玄鼠,N Zool,chiah,,"black rat, house rat, ship rat, Rattus rattus",
10069,hian5-gak8,hiân-ga̍k,hian5-gak8,hiân-ga̍k,弦樂,"N ",,,music of stringed instruments,
10070,hian5-hoe7,hiân-hōe,hian5-hue7,hiân-huē,慇懃,"SV ",,,hospitable,
10071,hian5-hu7-jin5,hiân-hū-jîn,hian5-hu7-jin5,hiân-hū-jîn,賢婦人,"N ",ê,,a wise woman,
10072,hian5-ian3-oo,hiân-iàn-o͘,hian5-ian3-oo,hiân-iàn-oo,玄燕鷗,"N ",chiah,,"Philippine noddy, Anoüs stolidus pileatus",
10073,hian5-jin5,hiân-jîn,hian5-jin5,hiân-jîn,賢人,"N ",ê,,wise man,
10074,hian5-koan,hiân-koan,hian5-kuan,hiân-kuan,玄關,"Np ",,,"entranceway, porch, vestibule",
10075,hian5-koan2 gak8-khi3,hiân-koán ga̍k-khì,hian5-kuan2 gak8-khi3,hiân-kuán ga̍k-khì,管弦樂器,"N ",,,strings and wind instruments,
10076,hian5-khim5,hiân-khîm,hian5-khim5,hiân-khîm,弦琴,"N ",ki,,stringed instrument,
10077,hian5-leng5,hiân-lêng,hian5-ling5,hiân-lîng,賢能,"SV ",,,wise and capable,
10078,hian5-liong5,hiân-liông,hian5-liong5,hiân-liông,賢良,"SV ",,,wise and virtuous,
10079,hian5-nai2-chhau2,hiân-nái-chháu,hian5-nai2-tshau2,hiân-nái-tsháu,葎草,"N ",châng,,"Japanese hop, humulus japonicus",
10080,hian5-siunn2,hiân-siúⁿ,hian5-siunn2,hiân-siúnn,懸賞,"V ",,,offer a reward,
10081,hian5-siunn2,hiân-siúⁿ,hian5-siunn2,hiân-siúnn,懸賞,"N ",,,"reward (for arrest, or return of goods)",
10082,hian5-soann3,hiân-sòaⁿ,hian5-suann3,hiân-suànn,弦線,"N ",tiâu,,string of an instrument,
10083,hian7,hiān,hian7,hiān,馬上,"Pmod ",,,"immediately, right away",
10084,hian7,hiān,hian7,hiān,現有,"SV ",,"hiān-hiān, hiān-hiān-hiān","on hand, ready (of money, particularly cash)",
10085,hian7-chai7,hiān-chāi,hian7-tsai7,hiān-tsāi,現在,"Nt ",,,"the present time, now",
10086,hian7-chinn5,hiān-chîⁿ,hian7-tsinn5,hiān-tsînn,現金,"N ",,,"cash, ready money",
10087,hian7-chhu2,hiān-chhú,hian7-tshu2,hiān-tshú,此時，現在,"TW ",,,"now, at present, currently",
10088,hian7-gun5,hiān-gûn,hian7-gun5,hiān-gûn,現金,"N ",,,"cash, ready money",
10089,hian7-hian7,hiān-hiān,hian7-hian7,hiān-hiān,明顯,"pVmod ",,,"clearly (visible), (in) plain (sight)",
10090,hian7-hian7,hiān-hiān,hian7-hian7,hiān-hiān,明顯,"Pmod ",,,clearly,
10091,hian7-hong2,hiān-hóng,hian7-hong2,hiān-hóng,現況,"N ",,,the present situation,
10092,hian7-jim7,hiān-jīm,hian7-jim7,hiān-jīm,現任,"N ",ê,,the present incumbent,
10093,hian7-kim,hiān-kim,hian7-kim,hiān-kim,現金,"N ",,,"cash, ready money",
10094,hian7-kim,hiān-kim,hian7-kim,hiān-kim,現今,"Nt ",,,"the present time, now",
10095,hian7-khoan2,hiān-khoán,hian7-khuan2,hiān-khuán,現款,"N ",,,"cash, ready money",
10096,hian7-se3,hiān-sè,hian7-se3,hiān-sè,現世,"Nt ",,,"this world, the present world",
10097,hian7-seng5-e5,hiān-sêng-ê,hian7-sing5-e5,hiān-sîng-ê,現成的,"eph5 ",,,ready made,
10098,hian7-siong7,hiān-siōng,hian7-siong7,hiān-siōng,現象,"N ",,,"appearande, occurrence, phenomenon",
10099,hian7-sit8,hiān-si̍t,hian7-sit8,hiān-si̍t,現實,"SV ",,,"actual, real (contrasted with the ideal)",
10100,hian7-sit8,hiān-si̍t,hian7-sit8,hiān-si̍t,現實,"SV ",,,oriented to the present or immediate situation only,
10101,hian7-sit8-hoa3,hiān-si̍t-hòa,hian7-sit8-hua3,hiān-si̍t-huà,現實化,"V ",,,"actualize, bring to reality, materialize",
10102,hian7-sit8-hoa3,hiān-si̍t-hòa,hian7-sit8-hua3,hiān-si̍t-huà,現實化,"N ",,,"actualization, materialization, realization",
10103,hian7-sit8-lun7,hiān-si̍t-lūn,hian7-sit8-lun7,hiān-si̍t-lūn,現實論,"N ",,,realism (as opposed to idealism),
10104,hian7-tai7,hiān-tāi,hian7-tai7,hiān-tāi,現代,"Nt ",,,"present generation, present age, today",
10105,hian7-tai7,hiān-tāi,hian7-tai7,hiān-tāi,現代,"Nmod ",,,modern,
10106,hian7-tiunn5,hiān-tiûⁿ,hian7-tiunn5,hiān-tiûnn,現場,"Np ",,,"(actual) secne, spot, site",
10107,hian7-tu2-hian7,hiān-tú-hiān,hian7-tu2-hian7,hiān-tú-hiān,有現款,"SV ",,,having plenty of ready cash,
10108,hian7-tu2-hian7,hiān-tú-hiān,hian7-tu2-hian7,hiān-tú-hiān,明明白白,"Sph ",,,"clear, manifest",
10109,hian7-than3 hian7-khai,hiān-thàn hiān-khai,hian7-than3 hian7-khai,hiān-thàn hiān-khai,勉強糊口,"Sph ",,,living from hand to mouth,
10110,"Hiang, hiang","Hiang, hiang","Hiang, hiang","Hiang, hiang",," ",,,,
10111,hiang-hm5,hiang-hm̂,hiang-hm5,hiang-hm̂,香茅,"N ",châng,,"lemon-grass, Cymbopogon citratus",
10112,hiang-hm5,hiang-hm̂,hiang-hm5,hiang-hm̂,香茅,"N ",châng,,"citronella grass, Cymbopogon nardus var. genuinus",
10113,hiang-hu5,hiang-hû,hiang-hu5,hiang-hû,香符,"N ",châng,,Orthodon formosanum,
10114,hiang-iu5,hiang-iû,hiang-iu5,hiang-iû,香油,"N ",,,white sesame oil,
10115,hiang-ju5,hiang-jû,hiang-ju5,hiang-jû,香榆,"N ",châng,,Orthodon formosanum,
10116,Hiang-kang2,Hiang-káng,Hiang-kang2,Hiang-káng,香港,"Np ",,,Hongkong,
10117,hiang-tam5,hiang-tâm,hiang-tam5,hiang-tâm,方言,"N ",,,local dialect,
10118,hiang2,hiáng,hiang2,hiáng,響,"SV ",,,resonant,
10119,hiang2-boe2-choa5,hiáng-bóe-chôa,hiang2-bue2-tsua5,hiáng-bué-tsuâ,響尾蛇,"N ","bé, bóe",,rattlesnake,
10120,hiang2-eng3,hiáng-èng,hiang2-ing3,hiáng-ìng,響應,"V ",,,"respond to (a movement, plan, project)",
10121,hiang2-eng3,hiáng-èng,hiang2-ing3,hiáng-ìng,響應,"N ",,,"response (to someone's action), support",
10122,hiang2-iu2,hiáng-iú,hiang2-iu2,hiáng-iú,享有,"V ",,,"enjoy (special privileges, etc)",
10123,hiang2-kinn3,hiáng-kìⁿ,hiang2-kinn3,hiáng-kìnn,悅目,"V ",,,enjoy looking at,
10124,hiang2 lian5,hiáng liân,hiang2 lian5,hiáng liân,享年,"VO ",,,enjoy old age (col hiong2-ni5),
10125,hiang2-liang7,hiáng-liāng,hiang2-liang7,hiáng-liāng,響亮,"SV ",,,resonant,
10126,hiang2-siu7,hiáng-siū,hiang2-siu7,hiáng-siū,享受,"V ",,,enjoy (the comforts of life),
10127,hiang2-siu7,hiáng-siū,hiang2-siu7,hiáng-siū,享受,"N ",,,enjoyment (of the comforts of life),
10128,"Hiap, hiap","Hiap, hiap","Hiap, hiap","Hiap, hiap",," ",,,,
10129,hiap8-che3,hia̍p-chè,hiap8-tse3,hia̍p-tsè,強迫,"V ",,,"compel, force (someone) to do (sthg)",
10130,hiap8-choo7,hia̍p-chō͘,hiap8-tsoo7,hia̍p-tsōo,協助,"V ",,,assist (in doing sthg),
10131,hiap8-choo7,hia̍p-chō͘,hiap8-tsoo7,hia̍p-tsōo,協助,"N ",,,assistance,
10132,hiap8-chok,hia̍p-chok,hiap8-tsok,hia̍p-tsok,合作,"V ",,,co-operate in doing (sthg),
10133,hiap8-e7,hia̍p-ē,hiap8-e7,hia̍p-ē,肋下,"N ",,,"(one's) side, area (under) one's arm",
10134,hiap8-gi7,hia̍p-gī,hiap8-gi7,hia̍p-gī,協議,"V ",,,"discuss together, confer with, reach agreement with",
10135,hiap8-ho5,hia̍p-hô,hiap8-ho5,hia̍p-hô,協和,"V ",,,"act in harmony, act in concert",
10136,hiap8-ho5,hia̍p-hô,hiap8-ho5,hia̍p-hô,協和,"SV ",,,"harmonious, concerted",
10137,hiap8-hoe7,hia̍p-hōe,hiap8-hue7,hia̍p-huē,協會,"N ",ê,,a co-operative association (established to further the particular interests of its members) <Bong5-jin5 Hiap8-hoe7 : Association for the Blind>,
10138,hiap8-iok,hia̍p-iok,hiap8-iok,hia̍p-iok,協約,"N ",,,"alliance, agreement",
10139,hiap8-kut,hia̍p-kut,hiap8-kut,hia̍p-kut,肋骨,"N ",,,ribs,
10140,hiap8-lat8,hia̍p-la̍t,hiap8-lat8,hia̍p-la̍t,協力,"VO ",,,"co-operate, join forces",
10141,hiap8-lat8,hia̍p-la̍t,hiap8-lat8,hia̍p-la̍t,協力,"SV ",,,co-operative,
10142,hiap8-lek8,hia̍p-le̍k,hiap8-lik8,hia̍p-li̍k,協力,"VO ",,,"co-operate, join forces",
10143,hiap8-lek8,hia̍p-le̍k,hiap8-lik8,hia̍p-li̍k,協力,"SV ",,,co-operative,
10144,hiap8-pan7,hia̍p-pān,hiap8-pan7,hia̍p-pān,協辦,"V ",,,assist in managing,
10145,hiap8-sek thoat-li7-seng3,hia̍p-sek thoat-lī-sèng,hiap8-sik thuat-li7-sing3,hia̍p-sik thuat-lī-sìng,協識脫離性,N Med,,,hysteria,
10146,hiap8-sim,hia̍p-sim,hiap8-sim,hia̍p-sim,同心,"VO ",,,"be of one mind, act with a single purpose (two or more persons)",
10147,hiap8-siong,hia̍p-siong,hiap8-siong,hia̍p-siong,協商(磋商),"V ",,,consult together,
10148,hiap8-tiau,hia̍p-tiau,hiap8-tiau,hia̍p-tiau,協調,"V ",,,co-ordinate,
10149,hiap8-tiau,hia̍p-tiau,hiap8-tiau,hia̍p-tiau,協調,"N ",,,co-ordination,
10150,hiap8-tong5,hia̍p-tông,hiap8-tong5,hia̍p-tông,協同,"V ",,,co-operate or unite in doing,
10151,"Hiat, hiat","Hiat, hiat","Hiat, hiat","Hiat, hiat",," ",,,,
10152,hiat,hiat,hiat,hiat,棄,"V ",,,"throw, toss (gently, cf hiN3, kiat, tim3)",
10153,hiat-ap,hiat-ap,hiat-ap,hiat-ap,血壓,"N ",,,blood-pressure,
10154,hiat-ap-ke3,hiat-ap-kè,hiat-ap-ke3,hiat-ap-kè,血壓計,N Med,ê,,"sphygmomanometer, instrument for measuring blood pressure",
10155,hiat-ap-toa3,hiat-ap-tòa,hiat-ap-tua3,hiat-ap-tuà,血壓帶,"N ",tiâu,,blood perssure cuff,
10156,hiat-chiunn,hiat-chiuⁿ,hiat-tsiunn,hiat-tsiunn,血漿,"N ",,,blood plasma,
10157,hiat-chok8,hiat-cho̍k,hiat-tsok8,hiat-tso̍k,血族,"N ",ê,,blood-relative,
10158,hiat-chheng,hiat-chheng,hiat-tshing,hiat-tshing,血清,"N ",,,"blood serum, lymph",
10159,hiat-chhin,hiat-chhin,hiat-tshin,hiat-tshin,血親,"N ",ê,,blood relative,
10160,hiat-chhoan-seng3,hiat-chhoan-sèng,hiat-tshuan-sing3,hiat-tshuan-sìng,血栓病，動脈炎,N Med,,,thrombo-arteritis,
10161,hiat-ek8,hiat-e̍k,hiat-ik8,hiat-i̍k,血液,"N ",,,blood,
10162,hiat-ek8,hiat-e̍k,hiat-ik8,hiat-i̍k,血液,"R ",,,blood,
10163,hiat-heng5,hiat-hêng,hiat-hing5,hiat-hîng,血型,"N ",,,blood-type,
10164,hiat-heng5,hiat-hêng,hiat-hing5,hiat-hîng,血型,"R ",,,blood-type,
10165,hiat-hong5-soo3,hiat-hông-sò͘,hiat-hong5-soo3,hiat-hông-sòo,血紅素,"N ",,,hemoglobin,
10166,hiat-hu5,hiat-hû,hiat-hu5,hiat-hû,花鳧,"N ",chiah,,"Burrow sheldrake, Tadorna tadorna",
10167,hiat-iu2-cheng3,hiat-iú-chèng,hiat-iu2-tsing3,hiat-iú-tsìng,血友症,N Med,,,hemophilia,
10168,hiat-kak8,hiat-ka̍k,hiat-kak8,hiat-ka̍k,丟棄,"V ",,,throw away,
10169,hiat-kiu5,hiat-kiû,hiat-kiu5,hiat-kiû,血球,"N ",,,blood corpuscle,
10170,hiat-khi3,hiat-khì,hiat-khi3,hiat-khì,血氣,"N ",,,"vital principle (which makes a complete circuit of the organs once every twenty-four hours, very strong in youth, weak in old age, related to one's vigor and strength of constitution, according to traditional Chinese thought)",
10171,hiat-khi3,hiat-khì,hiat-khi3,hiat-khì,血氣,N Bib,,,flesh (as opposed to spirit),
10172,hiat-khi3 hong5-kong,hiat-khì hông-kong,hiat-khi3 hong5-kong,hiat-khì hông-kong,血氣方剛,"SV ",,,"active, energetic, vigorous (cf hiat-khi3)",
10173,hiat-lau7,hiat-lāu,hiat-lau7,hiat-lāu,血漏,N Bib,,,hemorrhage,
10174,hiat-seng3,hiat-sèng,hiat-sing3,hiat-sìng,血性,"N ",,,violent temperament,
10175,hiat-seng3,hiat-sèng,hiat-sing3,hiat-sìng,血性,"N ",,,"warm-heartedness, zeal",
10176,hiat-tiau,hiat-tiau,hiat-tiau,hiat-tiau,血鯛,N Ich,bé,,"golden-skinned pargo, Evynnis cardinalis",
10177,hiat-tiau7,hiat-tiāu,hiat-tiau7,hiat-tiāu,棄掉,"V ",,,throw away,
10178,hiat-thong2,hiat-thóng,hiat-thong2,hiat-thóng,血統,"N ",,,"lineage, family line, pedigree",
10179,hiat8,hia̍t,hiat8,hia̍t,穴,"N ",ê,,cave,
10180,hiat8,hia̍t,hiat8,hia̍t,穴,N BF,,,"site (of a grave, according to the principles of hong-sui2, determined by the te7-li2-su ""geomancer"", eg hou2-hiat8, liong5-hiat8)",
10181,hiat8-chiau2,hia̍t-chiáu,hiat8-tsiau2,hia̍t-tsiáu,穴鳥,N Zool,chiah,,"general term for petrels or fulmars, Bouin fulmar, Bulweria hypoleuca hypoleuca and Peale's fulmar, Bulweria rostrata",
10182,hiat8-chiau2,hia̍t-chiáu,hiat8-tsiau2,hia̍t-tsiáu,穴鳥,N Zool,chiah,,"Bulwer's petrel, Bulweria bulwerii",
10183,hiat8-khau2,hia̍t-kháu,hiat8-khau2,hia̍t-kháu,穴口,"Np ",,,mouth of cave,
10184,"Hiau, hiau","Hiau, hiau","Hiau, hiau","Hiau, hiau",," ",,,,
10185,hiau,hiau,hiau,hiau,翻,"V ",,,"go back on (one's word, or a friend), break or disregard (agreement or promise)",
10186,hiau,hiau,hiau,hiau,翻,"V ",,,"lift up (the edge of something to look under it, as in searching through a pile of clothes, or through the leaves of a book)",
10187,hiau,hiau,hiau,hiau,鴞,"N ",chiah,,"owl, any bird of the order Strigiformes",
10188,hiau-heng7,hiau-hēng,hiau-hing7,hiau-hīng,僥倖,"SV ",,,"fortunate, lucky",
10189,hiau-heng7,hiau-hēng,hiau-hing7,hiau-hīng,僥倖,"SV ",,,"unfortunate, unlucky (more common use)",
10190,hiau-hiau,hiau-hiau,hiau-hiau,hiau-hiau,短耳虎斑鴞,"N ",chiah,,"short-eared owl, Asio-flammeus flammeus",
10191,hiau-hiong5,hiau-hiông,hiau-hiong5,hiau-hiông,梟雄,"SV ",,,"cunning, roguish, and wicked",
10192,hiau-than,hiau-than,hiau-than,hiau-than,翅起,"V ",,,"warp (wood, etc)",
10193,hiau-than,hiau-than,hiau-than,hiau-than,翅起,"SV ",,,warped,
10194,hiau-than,hiau-than,hiau-than,hiau-than,翅起,"SV ",,,"faithless, disappointing (person)",
10195,hiau2-goo7,hiáu-gō͘,hiau2-goo7,hiáu-gōo,覺悟,"V ",,,"comprehend, understand, be conscious of, become aware of, sense",
10196,hiau2-ju7,hiáu-jū,hiau2-ju7,hiáu-jū,曉諭,"V ",,,proclaim officially,
10197,hiau2-ju7,hiáu-jū,hiau2-ju7,hiáu-jū,曉諭,"R ",,,proclaim officially,
10198,hiau2-ngoo7,hiáu-ngō͘,hiau2-ngoo7,hiáu-ngōo,覺悟,"V ",,,"comprehend, understand, be conscious of, become aware of, sense",
10199,hiau5,hiâu,hiau5,hiâu,風騷,"SV ",,,"coquettish, lascivious, lewd (of woman only)",
10200,hiau5-pai,hiâu-pai,hiau5-pai,hiâu-pai,傲慢,"V ",,,"be haughty, arrogant, swagger",
10201,"Hiauh, hiauh","Hiauh, hiauh","Hiauh, hiauh","Hiauh, hiauh",," ",,,,
10202,hiauh,hiauh,hiauh,hiauh,脫,"Vi ",,,"scale or peel off (paint, skin, etc)",
10203,hiauh-khak,hiauh-khak,hiauh-khak,hiauh-khak,脫皮,"VO ",,,"scale, peel offf (paint, skin, etc)",
10204,"Him, him","Him, him","Him, him","Him, him",," ",,,,
10205,him-boo7,him-bō͘,him-boo7,him-bōo,渴慕,"Ve ",,,"long for, desire greatly",
10206,him-sian7,him-siān,him-sian7,him-siān,羨慕,"Ve ",,,have a strong desire to be (in what appears to be a better situation),
10207,him-siong2,him-sióng,him-siong2,him-sióng,欣賞,"Ve ",,,"delight in, find pleasure in, enjoy (literature, studies), appreciate (a person)",
10208,him-siong2-hoe7,him-sióng-hōe,him-siong2-hue7,him-sióng-huē,欣賞會,"N ",,,"appreciation meeting (for art, literature, music, etc)",
10209,him-soan7,him-soān,him-suan7,him-suān,羨慕,"Ve ",,,have a strong desire to be (in what appears to be a better situation),
10210,him5,hîm,him5,hîm,熊,"N ",chiah,,"bear, any member of the family Ursidae (in Taiwan only Formosan black bear, Ursus tibetanus formosanus)",
10211,him5-bo2,hîm-bó,him5-bo2,hîm-bó,母熊,"N ",chiah,,she-bear,
10212,him5-bo2,hîm-bó,him5-bo2,hîm-bó,母熊,"N ",ê,,a woman or child with hair in disarray,
10213,him5-bu2,hîm-bú,him5-bu2,hîm-bú,母熊,"N ",chiah,,she-bear,
10214,him5-bu2,hîm-bú,him5-bu2,hîm-bú,母熊,"N ",ê,,a woman or child with hair in disarray,
10215,him5-tann2,hîm-táⁿ,him5-tann2,hîm-tánn,熊膽,"N ",,,bear's gall (used in Chinese medicine),
10216,"Hin, hin","Hin, hin","Hin, hin","Hin, hin",," ",,,,
