id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
22425,moa5-phian3,môa-phiàn,mua5-phian3,muâ-phiàn,瞞騙,"V ",,,"deceive, cheat, fool",
22426,moa5-sann,môa-saⁿ,mua5-sann,muâ-sann,孝服,"N ",niá,,"clothing made of sackcloth, (used in mourning)",
22427,moa5-sat-hi5,môa-sat-hî,mua5-sat-hi5,muâ-sat-hî,虱目魚,"N ",bé,,"milk-fish, white mullet, Chanos chanos",
22428,moa5-si,môa-si,mua5-si,muâ-si,麻絲,"N ",,,vegetable fiber used for making clothing or rope (cf moa5),
22429,moa5-soh,môa-soh,mua5-soh,muâ-soh,麻繩,"N ","tiâu (length), khûn (coil)",,hemp or sisal rope,
22430,moa5-sut,môa-sut,mua5-sut,muâ-sut,麻絲,"N ",,,vegetable fiber used for amking clothing or rope (cf moa5),
22431,moa5-te7,môa-tē,mua5-te7,muâ-tē,麻袋,"N ",kha,,"burlap bag, gunny sack",
22432,moa5-tek,môa-tek,mua5-tik,muâ-tik,麻竹,"N ","phō, ki",,"Ma bamboo, Sinocalamus latiflorus",
22433,moa5-tek-sun2,môa-tek-sún,mua5-tik-sun2,muâ-tik-sún,麻竹筍,"N ",ki,,"edible shoots of the Ma bamboo, Sinocalamus latiflorus",
22434,moa5-thoan5,môa-thoân,mua5-thuan5,muâ-thuân,山家麻鷺,"N ",chiah,,"bittern, Botaurus stellaris stellaris",
22435,moa5-ut-ut,môa-ut-ut,mua5-ut-ut,muâ-ut-ut,牛頭伯勞,"N ",chiah,,"Bull-headed shrike, Lanius bucephalus bucephalus",
22436,moa5-ut8,môa-u̍t,mua5-ut8,muâ-u̍t,大杓鷸,"N ",chiah,,"Indian curlew, Numenius arquata orientalis ",
22437,moai5,moâi,muai5,muâi,稀飯,"N ",,,"rice congee, rice gruel",
22438,moai5-lang5,moâi-lâng,muai5-lang5,muâi-lâng,媒人,"N ",ê,,"match-maker, marriage broker",
22439,moai5-mng5-thang5,moâi-mn̂g-thâng,muai5-mng5-thang5,muâi-mn̂g-thâng,梅毛蟲,N Ent,chiah,,"tent caterpillar, Malacosoma neustria testacea",
22440,moe5,môe,mue5,muê,稀飯,"N ",,,"rice congee, rice gruel",
22441,moe5-a2,môe-á,mue5-a2,muê-á,酸梅,"N ","châng, lia̍p",,"a flower plum tree with bears green plums, Prunus mume",
22442,moe5-hoe,môe-hoe,mue5-hue,muê-hue,梅花,"N ",lúi,,plum blossom,
22443,moe5-kai3,môe-kài,mue5-kai3,muê-kài,媒介,"N ",,,mediation,
22444,moe5-kui3(-hoe),môe-kùi(-hoe),mue5-kui3(-hue),muê-kuì(-hue),玫瑰(花),"N ","châng, lúi",,"rose, any shrub of the genus Rosa",
22445,moe5-kui3-hoe,môe-kùi-hoe,mue5-kui3-hue,muê-kuì-hue,玫瑰會,"N RC ",,,Confracternity of the Rosary,
22446,moe5-kui3-keng,môe-kùi-keng,mue5-kui3-king,muê-kuì-king,玫瑰經,"N RC ",,,The Rosary,
22447,moe5-lang5,môe-lâng,mue5-lang5,muê-lâng,媒人,"N ",,,"match-maker, marriage broker",
22448,moe5-png7,môe-pn̄g,mue5-png7,muê-pn̄g,飯和稀飯,"N ",,,"cooked rice of all sorts, food (cf be5-png7)",
22449,moe7,mōe,mue7,muē,"妹 ","N ",,,younger sister,
22450,moe7-sai3,mōe-sài,mue7-sai3,muē-sài,妹婿,"N ",ê,,a brother-in-law (younger sister's husband),
22451,mooh,mo͘h,mooh,mooh,附著,"V ",,,"cling or hold fast to ",
22452,mooh,mo͘h,mooh,mooh,抱起,"V ",,,lift,
22453,mooh,mo͘h,mooh,mooh,癟,"V ",,,"be empty, subside",
22454,mooh,mo͘h,mooh,mooh,癟,"pSVmod ",,mo.h-mo.h,empty,
22455,mooh-piah-lian5,mo͘h-piah-liân,mooh-piah-lian5,mooh-piah-liân,銅壁蓮,"N ",châng,,Cereus triangularis,
22456,mooh8,mo̍͘h,mooh8,mo̍oh,膜,"N ",,,"film, cutcle, membrane, septium, inner skin (peanut), leaf(gold)",
22457,mooh8,mo̍͘h,mooh8,mo̍oh,薄,"SV ",,"mo.h-mo.h, mo.h-mo.h-mo.h,","thin(cloth, paper, etc)",
22458,mooh8-be5-loo7,mo̍͘h-bê-lō͘,mooh8-be5-loo7,mo̍oh-bê-lōo,膜迷路,N Med,,,membranous labyrinth,
22459,mui2,múi,mui2,muí,每,"Sp ",,,"every, each",
22460,mui5,mûi,mui5,muî,煤,"N ",,,coal,
22461,mui5,mûi,mui5,muî,酉每,N Med,,,enzyme,
22462,mui5-a2,mûi-á,mui5-a2,muî-á,梅,"N ","châng, lia̍p",,"flowering plum tree that bears green plums, Prunus mume",
22463,mui5-hoe,mûi-hoe,mui5-hue,muî-hue,梅花,"N ","châng, lúi",,"flowering plum, any flowering veriety of genus Prunus",
22464,mui5-hoe-lok8,mûi-hoe-lo̍k,mui5-hue-lok8,muî-hue-lo̍k,梅花鹿,"N ",chiah,,"Formosan sika deer, Cervus taiouanus",
22465,mui5-hoe-sio2-ah,mûi-hoe-sió-ah,mui5-hue-sio2-ah,muî-hue-sió-ah,梅花小鴨,"N ",chiah,,"cotton teal, pygmy goose, Nettapus coromandelianus coromandelianus",
22466,mui5-iu5,mûi-iû,mui5-iu5,muî-iû,煤油,"N ",,,"coal oil, kerosene",
22467,mui5-jin5,mûi-jîn,mui5-jin5,muî-jîn,媒人,"N ",ê,,"match-make, marriage broker",
22468,mui5-kai3,mûi-kài,mui5-kai3,muî-kài,媒介,"N ",,,mediation,
22469,mui5-kui3(hoe),mûi-kùi(hoe),mui5-kui3(hue),muî-kuì(hue),玫瑰(花),"N ","châng, lúi",,"rose, any shrub of the genus Rosa",
22470,mui5-kui3-chiu2,mûi-kùi-chiú,mui5-kui3-tsiu2,muî-kuì-tsiú,玫瑰酒,"N ",,,rose-petal wine,
22471,mui5-kui3-hoe,mûi-kùi-hoe,mui5-kui3-hue,muî-kuì-hue,玫瑰會,"N RC ",,,Confraternity of the Rosary,
22472,mui5-kui3-iu5,mûi-kùi-iû,mui5-kui3-iu5,muî-kuì-iû,玫瑰油,"N ",,,"attar of roses, rose oil",
22473,mui5-kui3-keng,mûi-kùi-keng,mui5-kui3-king,muî-kuì-king,玫瑰經,"N RC ",,,The Rosary,
22474,mui5-kui3-te5,mûi-kùi-tê,mui5-kui3-te5,muî-kuì-tê,玫瑰茶,"N ",,,rose-petal tea,
22475,mui5-khi3,mûi-khì,mui5-khi3,muî-khì,煤氣,"N ",,,"coal gas, natural gas, propane gas",
22476,mui5-khi3-teng,mûi-khì-teng,mui5-khi3-ting,muî-khì-ting,煤氣燈,"N ",ki,,gas light,
22477,mui5-khong3,mûi-khòng,mui5-khong3,muî-khòng,煤礦,"N ",ki,,coal mine,
22478,mui5-lang5(-po5),mûi-lâng(-pô),mui5-lang5(-po5),muî-lâng(-pô),媒人(婆),"N ",ê,,"match-amker, marriage broker",
22479,mui5-soo3,mûi-sò͘,mui5-soo3,muî-sòo,酉每素,N Med,,,enzyme,
22480,mui5-soann-chhiok,mûi-soaⁿ-chhiok,mui5-suann-tshiok,muî-suann-tshiok,臺灣日雀,"N ",chiah,,"Fukien great tit, Parus ater ptilosus",
22481,mui5-tong5-hi5,mûi-tông-hî,mui5-tong5-hi5,muî-tông-hî,梅童魚,N Ich,bé,,"a kind of croaker fish, Collichthys lucidus",
22482,mui5-thoann3,mûi-thòaⁿ,mui5-thuann3,muî-thuànn,煤炭,"N ",,,coal,
22483,na2,ná,na2,ná,愈,"Pmod ",,,Why…? How come…?,
22484,na2,ná,na2,ná,愈,"Pmod ",,,"more, the more(see below)",
22485,na2,ná,na2,ná,愈,"Int ",,,"the more…, the …-er <na2 lai5 na2 bo2 :the more it comes the better it gets>",
22486,na2-a,ná-a,na2-a,ná-a,挪亞,N pers Bib,,,Noah,
22487,na2-chhin-chhiunn7,ná-chhin-chhiūⁿ,na2-tshin-tshiunn7,ná-tshin-tshiūnn,像是,"Vph ",,,be somewhat like,
22488,na2 ho2-se3,ná hó-sè,na2 ho2-se3,ná hó-sè,怎麼好意思,"SV ph ",,,"hardly proper, somewhat embarrassing",
22489,na2-hong5,ná-hông,na2-hong5,ná-hông,那鴻書,N pers Bib Prot,,,Nahum (cf Lap8-hong5),
22490,na2-pat8/poat8/put8(-a2),ná-pa̍t/poa̍t/pu̍t(-á),na2-pat8/puat8/put8(-a2),ná-pa̍t/pua̍t/pu̍t(-á),番石榴,"N    ","châng, lia̍p",,"guava, Psidium guajava (also na5-)",
22491,na2-tat8,ná-ta̍t,na2-tat8,ná-ta̍t,哪達,N Bib,,,nard,
22492,na2-u7,ná-ū,na2-u7,ná-ū,那裏,"Res ",,,"(disclaiming praise or comppliment): Hardly! Not really! Oh, come now!",
22493,na3,nà,na3,nà,燙焦,"V     ",,,singe,
22494,na3,nà,na3,nà,舔,"V ",,,"protrude (the tongue), lick(the lips)",
22495,na3,nà,na3,nà,咋舌,"V ",,,protrude (the tongue) as a gesture of embarrassment,
22496,na3-kng,nà-kng,na3-kng,nà-kng,閃爍,"V ",,,glitter,
22497,na5(-a2),nâ(-á),na5(-a2),nâ(-á),籃(子),"N ",kha,,basket with handles for carrying things,
22498,na5-a2-pat8/poat8/put8,nâ-á-pa̍t/poa̍t/pu̍t,na5-a2-pat8/puat8/put8,nâ-á-pa̍t/pua̍t/pu̍t,番石榴,"N ","châng, lia̍p",,"guava, Psidium guajava (also na2-)",
22499,na5-au5,nâ-aû,na5-au5,nâ-âu,咽喉,N Anat,,,"throat, pharynx",
22500,na5-au5-cheng3,nâ-aû-chèng,na5-au5-tsing3,nâ-âu-tsìng,白喉,"N ",,,diphtheria (cf peh8-au5),
22501,na5-au5-iam7,nâ-aû-iām,na5-au5-iam7,nâ-âu-iām,喉炎,"N ",,,laryngitis,
22502,na5-au5-kng2,nâ-aû-kńg,na5-au5-kng2,nâ-âu-kńg,食道,N Anat,,,"esophagus, gullet",
22503,na5-au5-tih-a2,nâ-aû-tih-á,na5-au5-tih-a2,nâ-âu-tih-á,小舌,N Anat,,,uvula,
22504,na5-au5-thiann3,nâ-aû-thiàⁿ,na5-au5-thiann3,nâ-âu-thiànn,喉嚨痛,"N ",,,sore throat,
22505,na5-be2-chek,nâ-bé-chek,na5-be2-tsik,nâ-bé-tsik,藍尾唧,N Orn,chiah,,"estern bluue-tail robin, Japanese bush robin, Siberian blue-tail robin, Tarsiger cyanurus cyanurus",
22506,na5-chah8,nâ-cha̍h,na5-tsah8,nâ-tsa̍h,攔截,"V ",,,"hinder(physically, as in intervening to separate combatants or prevent an attack)",
22507,na5-chhiok,nâ-chhiok,na5-tshiok,nâ-tshiok,台灣藍鵲,N Orn,chiah,,"Formosan blue magpie, Kitta caerulea",
22508,na5-hang-iong-koe,nâ-hang-iong-koe,na5-hang-iong-kue,nâ-hang-iong-kue,長嘴秧雞,"N ",chiah,,"Formosan blue-breasted banded rail, Rallus striatus taiwanus",
22509,na5-hui2-chhui3,nâ-húi-chhùi,na5-hui2-tshui3,nâ-huí-tshuì,蒼翡翠,"N ",chiah,,"Indian white-breasted kingfisher, Halcyon smyrnensis fusca",
22510,na5-hui2-chhui3,nâ-húi-chhùi,na5-hui2-tshui3,nâ-huí-tshuì,黑頭翡翠,"N ",chiah,,"black-capped kingfisher, Halcyon pileata",
22511,na5-keng,nâ-keng,na5-king,nâ-king,藍鯨,"N ",chiah,,"blue whale, Sibbaldus musculus",
