id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
1392,goa7-kok,,gōa-kok,,gua7-kok,,guā-kok,,外國,193
1393,goa7-kok lang5,,gōa-kok lâng,,gua7-kok lang5,,guā-kok lâng,,外國人,193
1394,goa7 kau3 lang5,,gōa kàu lâng,,gua7 kau3 lang5,,guā kàu lâng,,外教人,193
1395,goa7-kho,,gōa-kho,,gua7-kho,,guā-kho,,外科,193
1396,goa7-kho pinn7-inn7,,gōa-kho pīⁿ-īⁿ,,gua7-kho pinn7-inn7,,guā-kho pīnn-īnn,,外科醫院,193
1397,goa7-kho-i,,gōa-kho-i,,gua7-kho-i,,guā-kho-i,,外科醫生,193
1398,goa7-kau,,gōa-kau,,gua7-kau,,guā-kau,,外交,193
1399,goa7-kau-ka,,gōa-kau-ka,,gua7-kau-ka,,guā-kau-ka,,外交家,194
1400,goa7-kau-koann,,gōa-kau-koaⁿ,,gua7-kau-kuann,,guā-kau-kuann,,外交官,194
1401,goa7-kau-oan5,,gōa-kau-oân,,gua7-kau-uan5,,guā-kau-uân,,外交員,194
1402,goa7-phoe5,,gōa-phôe,,gua7-phue5,,guā-phuê,,外皮,194
1403,goa7-pin,,gōa-pin,,gua7-pin,,guā-pin,,外賓,194
1404,goa7-koan,,gōa-koan,,gua7-kuan,,guā-kuan,,外觀,194
1405,goa7-heng5,goa7-koan,gōa-hêng,gōa-koan,gua7-hing5,gua7-kuan,guā-hîng,guā-kuan,外形,194
1406,goa7-tek8,,gōa-te̍k,,gua7-tik8,,guā-ti̍k,,外敵,194
1407,goa7-su7-kho3,,gōa-sū-khò,,gua7-su7-kho3,,guā-sū-khò,,外事課,194
1408,goa7-ke,,gōa-ke,,gua7-ke,,guā-ke,,娘家,194
1409,goan2,gun2,goán,gún,guan2,gun2,guán,gún,我們,195
1410,goan5-tan3,,goân-tàn,,guan5-tan3,,guân-tàn,,元旦,195
1411,goan5-lai5,,goân-lâi,,guan5-lai5,,guân-lâi,,原來,195
1412,goan5-li2,,goân-lí,,guan5-li2,,guân-lí,,原理,195
1413,goan5-in,,goân-in,,guan5-in,,guân-in,,原因,195
1414,goan5-chu2 tan5,,goân-chú tân,,guan5-tsu2 tan5,,guân-tsú tân,,原子彈,195
1415,goan5-chu2-leng5,,goân-chú-lêng,,guan5-tsu2-ling5,,guân-tsú-lîng,,原子能,195
1416,goan5-choo2,,goân-chó͘,,guan5-tsoo2,,guân-tsóo,,元祖,195
1417,goan5-su2,goan5-si2,goân-sú,goân-sí,guan5-su2,guan5-si2,guân-sú,guân-sí,原始,195
1418,goan5-su2-si5-tai7,,goân-sú-sî-tāi,,guan5-su2-si5-tai7,,guân-sú-sî-tāi,,原始時代,196
1419,goan5-liau7,,goân-liāu,,guan5-liau7,,guân-liāu,,原料,196
1420,goan5-ko2,,goân-kó,,guan5-ko2,,guân-kó,,原稿,196
1421,goan5-ke3,,goân-kè,,guan5-ke3,,guân-kè,,原價,196
1422,goan5-soe3,,goân-sòe,,guan5-sue3,,guân-suè,,元帥,196
1423,goan5-khi3,,goân-khì,,guan5-khi3,,guân-khì,,元氣,196
1424,u7 goan5-khi3,,ū goân-khì,,u7 guan5-khi3,,ū guân-khì,,有元氣,196
1425,bo5 goan5-khi3,,bô goân-khì,,bo5 guan5-khi3,,bô guân-khì,,沒有元氣,196
1426,goan5-liong7,,goân-liōng,,guan5-liong7,,guân-liōng,,原諒,197
1427,goan5-ui7,,goân-uī,,guan5-ui7,,guân-uī,,原位,197
1428,goan7-i3,,goān-ì,,guan7-i3,,guān-ì,,願意,197
1429,goeh8-jit8,,goe̍h-ji̍t,,gueh8-jit8,,gue̍h-ji̍t,,個月,197
1430,koo2-goeh8,,kó͘-goe̍h,,koo2-gueh8,,kóo-gue̍h,,個月,197
1431,goeh8-kho2,,goe̍h-khó,,gueh8-kho2,,gue̍h-khó,,月考,197
1432,goeh8,goeh8-niu5,goe̍h,goe̍h-niû,gueh8,gueh8-niu5,gue̍h,gue̍h-niû,月亮,198
1433,goeh8-kip,,goe̍h-kip,,gueh8-kip,,gue̍h-kip,,月薪、薪水,198
1434,goeh8-tai5,,goe̍h-tâi,,gueh8-tai5,,gue̍h-tâi,,月台,198
1435,goeh8-tai5-phio3,,goe̍h-tâi-phiò,,gueh8-tai5-phio3,,gue̍h-tâi-phiò,,月台票,198
1436,gong7,,gōng,,gong7,,gōng,,笨、戇,198
1437,gong7 lang5,,gōng lâng,,gong7 lang5,,gōng lâng,,愚笨的人,198
1438,gong7 cha-boo2,,gōng cha-bó͘,,gong7 tsa-boo2,,gōng tsa-bóo,,笨女人,198
1439,gong7-gin2-na2,,gōng-gín-ná,,gong7-gin2-na2,,gōng-gín-ná,,笨孩子,198
1440,gong5,,gông,,gong5,,gông,,暈,199
1441,gu5,,gû,,gu5,,gû,,牛,199
1442,gu5-iu5,,gû-iû,,gu5-iu5,,gû-iû,,牛油,199
1443,gu5-bah,,gû-bah,,gu5-bah,,gû-bah,,牛肉,199
1444,chhiah gu5,,chhiah gû,,tshiah gu5,,tshiah gû,,黃牛,199
1445,chui2 gu5,,chúi gû,,tsui2 gu5,,tsuí gû,,水牛,199
1446,gu5-leng,,gû-leng,,gu5-ling,,gû-ling,,牛奶,199
1447,gu5-leng-hun2,,gû-leng-hún,,gu5-ling-hun2,,gû-ling-hún,,牛奶粉,199
1448,gu5-chhia,,gû-chhia,,gu5-tshia,,gû-tshia,,牛車,199
1449,gui5-hiam2,,gûi-hiám,,gui5-hiam2,,guî-hiám,,危險,199
1450,gui5-ki,,gûi-ki,,gui5-ki,,guî-ki,,危機,200
1451,kok-ka e5 gui5-ki,,kok-ka ê gûi-ki,,kok-ka e5 gui5-ki,,kok-ka ê guî-ki,,國家的危機,200
1452,gui5-kip,,gûi-kip,,gui5-kip,,guî-kip,,危急,200
1453,hah8,,ha̍h,,hah8,,ha̍h,,適合、一致,200
1454,hai7--khi3,,hāi--khì,,hai7--khi3,,hāi--khì,,壞了,201
1455,hai7,,hāi,,hai7,,hāi,,害,201
1456,Li7-hai7,,Lī-hāi,,Li7-hai7,,Lī-hāi,,厲害,201
1457,hai2,,hái,,hai2,,hái,,海,201
1458,hai2-goa7,,hái-gōa,,hai2-gua7,,hái-guā,,海外,201
1459,hai2-bin7,,hái-bīn,,hai2-bin7,,hái-bīn,,海面,201
1460,hai2-chui2,,hái-chúi,,hai2-tsui2,,hái-tsuí,,海水,202
1461,hai2-mi5,,hái-mî,,hai2-mi5,,hái-mî,,海綿,202
1462,hai2-koan,,hái-koan,,hai2-kuan,,hái-kuan,,海關,202
1463,hai2-eng2,eng2,hái-éng,éng,hai2-ing2,ing2,hái-íng,íng,波浪,202
1464,hai2-eng2 chin toa7,hai2-eng2 chin koan5,hái-éng chin tōa,hái-éng chin koân,hai2-ing2 tsin tua7,hai2-ing2 tsin kuan5,hái-íng tsin tuā,hái-íng tsin kuân,波浪大,202
1465,hai2 chin pinn5,,hái chin pîⁿ,,hai2 tsin pinn5,,hái tsin pînn,,海很平靜,202
1466,hai2-hoann7,hai2-kinn5,hái-hōaⁿ,hái-kîⁿ,hai2-huann7,hai2-kinn5,hái-huānn,hái-kînn,海岸、海邊,202
1467,hai2-hong,,hái-hong,,hai2-hong,,hái-hong,,海風,202
1468,hai2-chui2-ek8,,hái-chúi-e̍k,,hai2-tsui2-ek8,,hái-tsuí-e̍k,,海水浴,202
1469,hai2-gan7-soann3,,hái-gān-sòaⁿ,,hai2-gan7-suann3,,hái-gān-suànn,,海岸線,202
1470,hainn3,,hàiⁿ,,hainn3,,hàinn,,搖動、振動,203
1471,hainn3 chhian-chhiu,,hàiⁿ chhian-chhiu,,hainn3 tshian-tshiu,,hàinn tshian-tshiu,,盪（打）鞦韆,203
1472,hainn,,haiⁿ,,hainn,,hainn,,呻吟,203
1473,hak8-seng,,ha̍k-seng,,hak8-sing,,ha̍k-sing,,學生,203
1474,hak8-hau7,,ha̍k-hāu,,hak8-hau7,,ha̍k-hāu,,學校,203
1475,kok-bin5 hak8-hau7,,kok-bîn ha̍k-hāu,,kok-bin5 hak8-hau7,,kok-bîn ha̍k-hāu,,國民學校,204
1476,kang-giap8 hak8-hau7,,kang-gia̍p ha̍k-hāu,,kang-giap8 hak8-hau7,,kang-gia̍p ha̍k-hāu,,工業學校,204
1477,siang-giap8 hak8-hau7,,siang-gia̍p ha̍k-hāu,,siang-giap8 hak8-hau7,,siang-gia̍p ha̍k-hāu,,商業學校,204
1478,su-hoan7 hak8-hau7,,su-hoān ha̍k-hāu,,su-huan7 hak8-hau7,,su-huān ha̍k-hāu,,師範學校,204
1479,hak8-hui3,,ha̍k-hùi,,hak8-hui3,,ha̍k-huì,,學費,204
1480,hak8-ki5,,ha̍k-kî,,hak8-ki5,,ha̍k-kî,,學期,204
1481,siang7 hak8-ki5,,siāng ha̍k-kî,,siang7 hak8-ki5,,siāng ha̍k-kî,,上學期,204
1482,ha7 hak8-ki5,,hā ha̍k-kî,,ha7 hak8-ki5,,hā ha̍k-kî,,下學期,204
1483,hak8-inn7,,ha̍k-īⁿ,,hak8-inn7,,ha̍k-īnn,,學院,204
1484,ham-ban7,,ham-bān,,ham-ban7,,ham-bān,,笨、愚昧的,204
1485,ham5,,hâm,,ham5,,hâm,,含、和,204
1486,pau-ham5,,pau-hâm,,pau-ham5,,pau-hâm,,包含,205
1487,han3,,hàn,,han3,,hàn,,（漢）,205
1488,se3 han3 gin2-na2,,sè hàn gín-ná,,se3 han3 gin2-na2,,sè hàn gín-ná,,小孩子,205
1489,toa7 han3 gin2-na2,,tōa hàn gín-ná,,tua7 han3 gin2-na2,,tuā hàn gín-ná,,大孩子,205
1490,han2--tit,,hán--tit,,han2--tit,,hán--tit,,罕、很少,205
1491,han2,,hán,,han2,,hán,,造謠、留言,205
1492,han-chi5,,han-chî,,han-tsi5,,han-tsî,,甘薯、地瓜、蕃薯,205
1493,han3-ji7,,hàn-jī,,han3-ji7,,hàn-jī,,漢字,205
1494,han5-kok,,hân-kok,,han5-kok,,hân-kok,,韓國,206
1495,han3 tiau5,,hàn tiâu,,han3 tiau5,,hàn tiâu,,漢朝,206
1496,han5-tam5,kong2-eng5-oe7,hân-tâm,kóng-êng-oē,han5-tam5,kong2-ing5-ue7,hân-tâm,kóng-îng-uē,閒談,206
1497,han5-tai3,,hân-tài,,han5-tai3,,hân-tài,,寒帶,206
1498,han5-liu5,,hân-liû,,han5-liu5,,hân-liû,,寒流,206
1499,hang,,hang,,hang,,hang,,烤、烘,206
1500,hang mi7-pau,,hang mī-pau,,hang mi7-pau,,hang mī-pau,,烤麵包,206
1501,hang nng7 te3 mi7-pau,hang nng7 phinn3 mi7-pau,hang nn̄g tè mī-pau,hang nn̄g phìⁿ mī-pau,hang nng7 te3 mi7-pau,hang nng7 phinn3 mi7-pau,hang nn̄g tè mī-pau,hang nn̄g phìnn mī-pau,烤兩塊麵包,206
1502,hang-loo5,,hang-lô͘,,hang-loo5,,hang-lôo,,烘爐,206
1503,hang ti-bah,,hang ti-bah,,hang ti-bah,,hang ti-bah,,烘猪肉,207
1504,hang ke-bah,,hang ke-bah,,hang ke-bah,,hang ke-bah,,烤雞肉,207
1505,hang7,,hāng,,hang7,,hāng,,巷,207
1506,hang2,,háng,,hang2,,háng,,恐嚇,207
1507,hang5,tau5-hang5,hâng,tâu-hâng,hang5,tau5-hang5,hâng,tâu-hâng,投降,207
1508,hang5-hok8,kang3-hok8,hâng-ho̍k,kàng-ho̍k,hang5-hok8,kang3-hok8,hâng-ho̍k,kàng-ho̍k,降服,207
1509,hap8-chhiunn3,,ha̍p-chhiùⁿ,,hap8-tshiunn3,,ha̍p-tshiùnn,,合唱,208
1510,hap8-chhiunn3,,ha̍p-chhiùⁿ,,hap8-tshiunn3,,ha̍p-tshiùnn,,合、閉,208
1511,hap8-li2,,ha̍p-lí,,hap8-li2,,ha̍p-lí,,合理,208
1512,hau7-tiunn2,,hāu-tiúⁿ,,hau7-tiunn2,,hāu-tiúnn,,校長,209
1513,hau7-kang,,hāu-kang,,hau7-kang,,hāu-kang,,校工,209
1514,hau7-iu2-hoe7,tong5-hak8-hoe7,hāu-iú-hōe,tông-ha̍k-hōe,hau7-iu2-hue7,tong5-hak8-hue7,hāu-iú-huē,tông-ha̍k-huē,校友會、同學會,209
1515,hau7-koa,,hāu-koa,,hau7-kua,,hāu-kua,,校歌,209
1516,hau7-tiann5,,hāu-tiâⁿ,,hau7-tiann5,,hāu-tiânn,,校庭,209
1517,iu2-hau3,,iú-hàu,,iu2-hau3,,iú-hàu,,孝順,209
1518,put-hau3,,put-hàu,,put-hau3,,put-hàu,,不孝,209
1519,hau7-ko2,,hāu-kó,,hau7-ko2,,hāu-kó,,効果,209
1520,u7 hau7-ko2,,ū hāu-kó,,u7 hau7-ko2,,ū hāu-kó,,有効,209
1521,bo5 hau7-ko2,,bô hāu-kó,,bo5 hau7-ko2,,bô hāu-kó,,無効,209
1522,hau-siau5,peh8-chhat,hau-siâu,pe̍h-chhat,hau-siau5,peh8-tshat,hau-siâu,pe̍h-tshat,說謊、謊話,209
1523,kong2 hau-siau5,kong2 peh8-chhat,kóng hau-siâu,kóng pe̍h-chhat,kong2 hau-siau5,kong2 peh8-tshat,kóng hau-siâu,kóng pe̍h-tshat,說謊,209
1524,hau7-senn,hau7-sinn,hāu-seⁿ,hāu-siⁿ,hau7-senn,hau7-sinn,hāu-senn,hāu-sinn,兒子,210
1525,he7,khng3,hē,khǹg,he7,khng3,hē,khǹg,放、置,210
1526,he7-thinn,,hē-thiⁿ,,he7-thinn,,hē-thinn,,夏天,210
1527,he5-a2,,hê-á,,he5-a2,,hê-á,,蝦,210
1528,he-ku,,he-ku,,he-ku,,he-ku,,喘息,210
1529,heng5,,hêng,,hing5,,hîng,,還,210
1530,heng5-li2,,hêng-lí,,hing5-li2,,hîng-lí,,行李,210
1531,heng5,,hêng,,hing5,,hîng,,形、樣式,210
1532,heng5-sek,,hêng-sek,,hing5-sik,,hîng-sik,,形式,211
1533,heng5-sek chu2-gi7,,hêng-sek chú-gī,,hing5-sik tsu2-gi7,,hîng-sik tsú-gī,,形式主義,211
1534,heng5-iong5,,hêng-iông,,hing5-iong5,,hîng-iông,,形容,211
1535,heng5-iong5-su5,,hêng-iông-sû,,hing5-iong5-su5,,hîng-iông-sû,,形容詞,211
1536,hi5,hi5-a2,hî,hî-á,hi5,hi5-a2,hî,hî-á,魚,211
1537,liah8-hi5,,lia̍h-hî,,liah8-hi5,,lia̍h-hî,,捉魚,211
1538,liah8-hi5--e5,,lia̍h-hî--ê,,liah8-hi5--e5,,lia̍h-hî--ê,,漁夫,212
1539,tio3 hi5,,tiò hî,,tio3 hi5,,tiò hî,,釣魚,212
1540,bang7-hi5,,bāng-hî,,bang7-hi5,,bāng-hî,,網魚,212
1541,kim-hi5,,kim-hî,,kim-hi5,,kim-hî,,金魚,212
1542,hi5-ti5,,hî-tî,,hi5-ti5,,hî-tî,,魚池,212
1543,hi-bong7,,hi-bōng,,hi-bong7,,hi-bōng,,希望,212
1544,hi3,,hì,,hi3,,hì,,戲、劇,212
1545,hi3-inn7,,hì-īⁿ,,hi3-inn7,,hì-īnn,,戲院,212
1546,hi-han2,,hi-hán,,hi-han2,,hi-hán,,稀罕,212
1547,chin hi-han2 e5 mih8,,chin hi-hán ê mi̍h,,tsin hi-han2 e5 mih8,,tsin hi-hán ê mi̍h,,罕見的東西,212
1548,hi-seng,,hi-seng,,hi-sing,,hi-sing,,犧牲,213
1549,hinn7-a2,,hīⁿ-á,,hinn7-a2,,hīnn-á,,耳朵,213
1550,hinn7-khang,,hīⁿ-khang,,hinn7-khang,,hīnn-khang,,耳孔,213
1551,hinn7-sai2,,hīⁿ-sái,,hinn7-sai2,,hīnn-sái,,耳垢,213
1552,hia7,,hiā,,hia7,,hiā,,瓦,213
1553,hia,,hia,,hia,,hia,,那裏,214
1554,khi3 hia,,khì hia,,khi3 hia,,khì hia,,到那裡去,214
1555,ti7 hia,,tī hia,,ti7 hia,,tī hia,,在那裡,214
1556,ti7 hia e5 lang5,,tī hia ê lâng,,ti7 hia e5 lang5,,tī hia ê lâng,,在那裡的人,214
1557,hiann-ti7,,hiaⁿ-tī,,hiann-ti7,,hiann-tī,,兄弟,214
1558,hiann5,,hiâⁿ,,hiann5,,hiânn,,燒,214
1559,hiah-nih8,,hiah-ni̍h,,hiah-nih8,,hiah-ni̍h,,那麼,214
1560,hiah e5,,hiah ê,,hiah e5,,hiah ê,,那些,214
1561,hiam,,hiam,,hiam,,hiam,,辣,214
1562,hiam5,,hiâm,,hiam5,,hiâm,,嫌,215
1563,hiam2,,hiám,,hiam2,,hiám,,險些兒,215
1564,hiam3,,hiàm,,hiam3,,hiàm,,喊、叫,215
1565,hian,,hian,,hian,,hian,,翻開、打開,216
1566,hian7-chai7,,hiān-chāi,,hian7-tsai7,,hiān-tsāi,,現在,216
1567,hian7-chinn5,,hiān-chîⁿ,,hian7-tsinn5,,hiān-tsînn,,現鈔,216
1568,hian7-kim,,hiān-kim,,hian7-kim,,hiān-kim,,現鈔,216
1569,hian7-tai7,,hiān-tāi,,hian7-tai7,,hiān-tāi,,現代,216
1570,hian7 chu7-chi2,chu7-soo2,hiān chū-chí,chū-só͘,hian7 tsu7-tsi2,tsu7-soo2,hiān tsū-tsí,tsū-sóo,現住址、住所,216
1571,hian7-tiunn5,,hiān-tiûⁿ,,hian7-tiunn5,,hiān-tiûnn,,現場、當場,216
1572,hian2-bi5-kiann3,,hián-bî-kiàⁿ,,hian2-bi5-kiann3,,hián-bî-kiànn,,顯微鏡,217
1573,hiat-tiau7,,hiat-tiāu,,hiat-tiau7,,hiat-tiāu,,丟掉,217
1574,hiat,,hiat,,hiat,,hiat,,丟,217
1575,hiat-ap,,hiat-ap,,hiat-ap,,hiat-ap,,血壓,217
1576,hiat-thong2,,hiat-thóng,,hiat-thong2,,hiat-thóng,,血統,217
1577,him5,,hîm,,him5,,hîm,,熊,217
1578,him-siong2,,him-sióng,,him-siong2,,him-sióng,,欣賞,217
1579,hin5,,hîn,,hin5,,hîn,,暈,217
1580,hin5-chun5,,hîn-chûn,,hin5-tsun5,,hîn-tsûn,,暈船,218
1581,hin7,oan3-hin7,hīn,oàn-hīn,hin7,uan3-hin7,hīn,uàn-hīn,恨,218
1582,hih-hih-chhio3,,hih-hih-chhiò,,hih-hih-tshio3,,hih-hih-tshiò,,發痴笑、格格作笑,218
1583,hioh-khun3,,hioh-khùn,,hioh-khun3,,hioh-khùn,,休息,218
1584,hioh-joah8,,hioh-joa̍h,,hioh-juah8,,hioh-jua̍h,,暑假,219
1585,hioh-koann5,,hioh-kôaⁿ,,hioh-kuann5,,hioh-kuânn,,寒假,219
1586,hioh8-a2,,hio̍h-á,,hioh8-a2,,hio̍h-á,,葉子,219
1587,hioh,,hioh,,hioh,,hioh,,歇、棲息,219
1588,hip,,hip,,hip,,hip,,拍照、拍攝,219
1589,hip-siong3,,hip-siòng,,hip-siong3,,hip-siòng,,拍照、照相,219
1590,hip-siong3-ki,,hip-siòng-ki,,hip-siong3-ki,,hip-siòng-ki,,照相機,219
1591,hit,,hit,,hit,,hit,,那,219
1592,hit soo2-chai7,hit e5 soo2-chai7,hit só͘-chāi,hit ê só͘-chāi,hit soo2-tsai7,hit e5 soo2-tsai7,hit sóo-tsāi,hit ê sóo-tsāi,那裏,220
1593,hng7,,hn̄g,,hng7,,hn̄g,,遠,220
1594,hng5,,hn̂g,,hng5,,hn̂g,,園,220
1595,hoe-hng5,,hoe-hn̂g,,hue-hng5,,hue-hn̂g,,花園,220
1596,chhai3-hng5,,chhài-hn̂g,,tshai3-hng5,,tshài-hn̂g,,菜園,220
1597,iu3-ti7-hng5,,iù-tī-hn̂g,,iu3-ti7-hng5,,iù-tī-hn̂g,,幼稚園,220
1598,kong-hng5,,kong-hn̂g,,kong-hng5,,kong-hn̂g,,公園,220
1599,sin lok8-hng5,,sin lo̍k-hn̂g,,sin lok8-hng5,,sin lo̍k-hn̂g,,新樂園,220
1600,ho2,,hó,,ho2,,hó,,好,220
1601,ho2-chiah8,,hó-chia̍h,,ho2-tsiah8,,hó-tsia̍h,,好吃,220
1602,ho2-lim,,hó-lim,,ho2-lim,,hó-lim,,好喝、可口,221
1603,ho2-khoann3,,hó-khòaⁿ,,ho2-khuann3,,hó-khuànn,,好看,221
1604,ho2-chhio3,,hó-chhiò,,ho2-tshio3,,hó-tshiò,,好笑,221
1605,ho2-che7,,hó-chē,,ho2-tse7,,hó-tsē,,好坐,221
1606,ho2-khun3,,hó-khùn,,ho2-khun3,,hó-khùn,,好睡,221
1607,ho2-eng7,,hó-ēng,,ho2-ing7,,hó-īng,,好用,222
1608,ho2-kong2,,hó-kóng,,ho2-kong2,,hó-kóng,,容易講,222
1609,ho2-se2,,hó-sé,,ho2-se2,,hó-sé,,好洗,222
1610,ho2-peh,,hó-peh,,ho2-peh,,hó-peh,,容易爬,222
1611,ho2-sia2,,hó-siá,,ho2-sia2,,hó-siá,,好寫,222
1612,ho2-khng3,,hó-khǹg,,ho2-khng3,,hó-khǹg,,容易放,222
1613,ho2-chai3,,hó-chài,,ho2-tsai3,,hó-tsài,,容易載,223
1614,ho2-liah8,,hó-lia̍h,,ho2-liah8,,hó-lia̍h,,容易捉,223
1615,ho2-chheng7,,hó-chhēng,,ho2-tshing7,,hó-tshīng,,容易穿,223
1616,ho2-thiann,,hó-thiaⁿ,,ho2-thiann,,hó-thiann,,好聽,223
1617,ho2-chhiunn3,,hó-chhiùⁿ,,ho2-tshiunn3,,hó-tshiùnn,,容易唱,223
1618,ho2-te7,,hó-tē,,ho2-te7,,hó-tē,,放東西很方便,223
1619,ho2-te2,,hó-té,,ho2-te2,,hó-té,,裝（或盛）東西很方便,224
1620,ho2-thak8,,hó-tha̍k,,ho2-thak8,,hó-tha̍k,,容易讀,224
1621,ho2--bo5,,hó--bô,,ho2--bo5,,hó--bô,,好嗎,224
1622,ho2-i3,,hó-ì,,ho2-i3,,hó-ì,,好意,224
1623,ho2-se3,,hó-sè,,ho2-se3,,hó-sè,,適當、舒適,225
1624,ho2-mia7,,hó-miā,,ho2-mia7,,hó-miā,,好運氣,225
1625,ho2-giah8,,hó-gia̍h,,ho2-giah8,,hó-gia̍h,,富裕,225
1626,ho2-giah8-lang5,,hó-gia̍h-lâng,,ho2-giah8-lang5,,hó-gia̍h-lâng,,富翁,225
1627,ho2-tann2,,hó-táⁿ,,ho2-tann2,,hó-tánn,,有膽量,225
1628,ho2-chhit-tho5,,hó-chhit-thô,,ho2-tshit-tho5,,hó-tshit-thô,,好玩,225
1629,ho5-peng5,ho5-pheng5,hô-pêng,hô-phêng,ho5-ping5,ho5-phing5,hô-pîng,hô-phîng,和平,225
1630,ho5-ho2,,hô-hó,,ho5-ho2,,hô-hó,,和好,226
1631,hoo7,,hō͘,,hoo7,,hōo,,給,226
1632,hoo7,,hō͘,,hoo7,,hōo,,雨,227
1633,loh8-hoo7,,lo̍h-hō͘,,loh8-hoo7,,lo̍h-hōo,,下雨,227
1634,chin ku2 bo5 loh8-hoo7,,chin kú bô lo̍h-hō͘,,tsin ku2 bo5 loh8-hoo7,,tsin kú bô lo̍h-hōo,,很久沒有下雨,227
1635,hoo7-soann3,,hō͘-sòaⁿ,,hoo7-suann3,,hōo-suànn,,雨傘,227
1636,hoo7-sann,hoo7-i,hō͘-saⁿ,hō͘-i,hoo7-sann,hoo7-i,hōo-sann,hōo-i,雨衣,227
1637,hoo7,,hō͘,,hoo7,,hōo,,被,227
1638,hoo7,,hō͘,,hoo7,,hōo,,讓,227
1639,hoo7,,hō͘,,hoo7,,hōo,,,228
1640,ho7-cho3,,hō-chò,,ho7-tso3,,hō-tsò,,叫做,228
1641,hoo5-sin5,,hô͘-sîn,,hoo5-sin5,,hôo-sîn,,蒼蠅,228
1642,hoo5-chio,,hô͘-chio,,hoo5-tsio,,hôo-tsio,,胡椒,228
1643,hoo7-su7,,hō͘-sū,,hoo7-su7,,hōo-sū,,護士,228
1644,hoo2,,hó͘,,hoo2,,hóo,,虎,228
1645,hoo2,,hó͘,,hoo2,,hóo,,騙,228
1646,hoo7-chio3,,hō͘-chiò,,hoo7-tsio3,,hōo-tsiò,,護照,229
1647,hoo5-chhiu,,hô͘-chhiu,,hoo5-tshiu,,hôo-tshiu,,多鬍子的,229
1648,hoo7-sap-a2,,hō͘-sap-á,,hoo7-sap-a2,,hōo-sap-á,,細雨、霧雨,229
1649,hoonn3,,hò͘ⁿ,,hoonn3,,hòonn,,,229
1650,hoonn3-sek,,hò͘ⁿ-sek,,hoonn3-sik,,hòonn-sik,,好色,229
1651,hoonn3-ki5,,hò͘ⁿ-kî,,hoonn3-ki5,,hòonn-kî,,好奇,229
1652,hoonn3,,hò͘ⁿ,,hoonn3,,hòonn,,（愛）好,230
1653,ho2,,hó,,ho2,,hó,,好,230
1654,hoa3-hak8,,hòa-ha̍k,,hua3-hak8,,huà-ha̍k,,化學,230
1655,hoa,,hoa,,hua,,hua,,熄滅,230
1656,siau--hoa,,siau--hoa,,siau--hua,,siau--hua,,使熄滅,230
1657,siau-hoa3,,siau-hòa,,siau-hua3,,siau-huà,,消化,230
1658,hoann-hi2,,hoaⁿ-hí,,huann-hi2,,huann-hí,,歡喜,230
1659,hoann7,,hōaⁿ,,huann7,,huānn,,岸、堤,231
1660,hoann5,,hôaⁿ,,huann5,,huânn,,鼾,231
1661,hoann7,,hōaⁿ,,huann7,,huānn,,支住、抓住,231
1662,hoan-na2-hoe2,,hoan-ná-hóe,,huan-na2-hue2,,huan-ná-hué,,洋火、火柴,231
1663,hoan-kiunn-a2,,hoan-kiuⁿ-á,,huan-kiunn-a2,,huan-kiunn-á,,辣椒,231
1664,hoan-geng5,,hoan-gêng,,huan-ging5,,huan-gîng,,歡迎,231
1665,hoan5-lo2,,hoân-ló,,huan5-lo2,,huân-ló,,掛心、憂慮,232
1666,hoan7,,hoān,,huan7,,huān,,犯,232
1667,hoan7-lang5,,hoān-lâng,,huan7-lang5,,huān-lâng,,犯人、罪犯,232
1668,hoan2-tui3,,hoán-tùi,,huan2-tui3,,huán-tuì,,反對,232
1669,tui3-hoan2,,tùi-hoán,,tui3-huan2,,tuì-huán,,相反,232
1670,hoan5,,hoân,,huan5,,huân,,明礬,233
1671,hoan-ek8,ek8,hoan-e̍k,e̍k,huan-ik8,ik8,huan-i̍k,i̍k,翻譯,233
1672,hoan-geng5-hoe7,,hoan-gêng-hōe,,huan-ging5-hue7,,huan-gîng-huē,,歡迎會,233
1673,hoan-geng5-mng5,,hoan-gêng-mn̂g,,huan-ging5-mng5,,huan-gîng-mn̂g,,歡迎門,233
1674,hoan-sin,,hoan-sin,,huan-sin,,huan-sin,,翻身,233
1675,hoan7-chia2,,hoān-chiá,,huan7-tsia2,,huān-tsiá,,患者,233
1676,hoan7-ui5,,hoān-uî,,huan7-ui5,,huān-uî,,範圍,233
1677,hoan-na2-iu5,chui2-iu5/chioh8-iu5,hoan-ná-iû,chúi-iû/chio̍h-iû,huan-na2-iu5,tsui2-iu5/tsioh8-iu5,huan-ná-iû,tsuí-iû/tsio̍h-iû,煤油,234
1678,hoan-hu3,,hoan-hù,,huan-hu3,,huan-hù,,吩咐,234
1679,hoat-tian2,,hoat-tián,,huat-tian2,,huat-tián,,發展,234
1680,hoat8,,hoa̍t,,huat8,,hua̍t,,罰,234
1681,hoat-im,,hoat-im,,huat-im,,huat-im,,發音,234
1682,hoat-khi2,,hoat-khí,,huat-khi2,,huat-khí,,發起,234
1683,hoat-lut8,,hoat-lu̍t,,huat-lut8,,huat-lu̍t,,法律,235
