id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
3920,Sann-kap,,Saⁿ-kap,,Sann-kap,,Sann-kap,,一起、一同,548
3921,Sann-kak,,Saⁿ-kak,,Sann-kak,,Sann-kak,,三角學,549
3922,Sann-lian2-chhia,,Saⁿ-lián-chhia,,Sann-lian2-tshia,,Sann-lián-tshia,,三輪車,549
3923,Sann-kak,,Saⁿ-kak,,Sann-kak,,Sann-kak,,三角,549
3924,Sann-ui7 it-the2,Sam-ui7 it-the2,Saⁿ-uī it-thé,Sam-uī it-thé,Sann-ui7 it-the2,Sam-ui7 it-the2,Sann-uī it-thé,Sam-uī it-thé,三位一體,549
3925,Sah8,,Sa̍h,,Sah8,,Sa̍h,,煮沸,549
3926,Sah8 ke-nng7,,Sa̍h ke-nn̄g,,Sah8 ke-nng7,,Sa̍h ke-nn̄g,,煮沸雞蛋,549
3927,Sah8 sann,,Sa̍h saⁿ,,Sah8 sann,,Sa̍h sann,,煮衣服,549
3928,Sai2,,Sái,,Sai2,,Sái,,駕駛,550
3929,Sai2 chhia ê,,Sái chhia ê,,Sai2 tshia ê,,Sái tshia ê,,駕駛員,550
3930,Sai2 chun5,,Sái chûn,,Sai2 tsun5,,Sái tsûn,,駛船,550
3931,Sai-hu7,,Sai-hū,,Sai-hu7,,Sai-hū,,匠人,550
3932,Bak8-chhiunn7 sai-hu7,,Ba̍k-chhiūⁿ sai-hū,,Bak8-tshiunn7 sai-hu7,,Ba̍k-tshiūnn sai-hū,,木匠,550
3933,Thoo5-chui2 sai-hu7,,Thô͘-chúi sai-hū,,Thoo5-tsui2 sai-hu7,,Thôo-tsuí sai-hū,,泥水匠,550
3934,Chhai5-hong5 sai-hu7,,Chhâi-hông sai-hū,,Tshai5-hong5 sai-hu7,,Tshâi-hông sai-hū,,裁縫師,550
3935,Thi3-thau5 sai-hu7,,Thì-thâu sai-hū,,Thi3-thau5 sai-hu7,,Thì-thâu sai-hū,,理髮師,550
3936,Khan tian7 hoe2 sai-hu7,,Khan tiān hóe sai-hū,,Khan tian7 hue2 sai-hu7,,Khan tiān hué sai-hū,,電氣匠,550
3937,Siu-li2 ke-khi3 sai-hu7,,Siu-lí ke-khì sai-hū,,Siu-li2 ke-khi3 sai-hu7,,Siu-lí ke-khì sai-hū,,機器匠,550
3938,Sai,,Sai,,Sai,,Sai,,西,550
3939,Sai pak hoo7,,Sai pak hō͘,,Sai pak hoo7,,Sai pak hōo,,西北雨、驟雨,550
