id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
7455,chhun hun,chhun hun,tshun hun,tshun hun,"N ",,,春分,"spring equinox, vernal equinox",
7456,chhun-io̍h,chhun-ioh8,tshun-io̍h,tshun-ioh8,"N ",,,春藥,aphrodisiacs,
7457,chhun-ká,chhun-ka2,tshun-ká,tshun-ka2,"Nt ",,,春假,spring vacation,
7458,chhun-kùi,chhun-kui3,tshun-kuì,tshun-kui3,"Nt ",,,春季,"springtime, spring season",
7459,chhun-kun,chhun-kun,tshun-kun,tshun-kun,"N ",châng,,香椿,"Chinese cedar, Chinese mahogany, Cedrela sinensis Juss (syn ang5-chhun-chhiu7, toa7-ang5-thun-chhiu7, chhun-thi-phe5)",
7460,chhun-kun,chhun-kun,tshun-kun,tshun-kun,"N ",châng,,檄樹,"Indian mulberry, Morinda citrifolia",
7461,chhun-oē,chhun-oe7,tshun-uē,tshun-ue7,"N ",tiuⁿ,,春宮圖,"pornography, pornographic picture",
7462,chhun-thâu,chhun-thau5,tshun-thâu,tshun-thau5,"Nt ",,,初春,early spring,
7463,chhun-thi-phê,chhun-thi-phe5,tshun-thi-phê,tshun-thi-phe5,"N ",châng,,香椿,"Chinese cedar, Chinese mahogany, Cedrela sinensis Juss (syn ang5-chhun-chhiu7, toa7-ang5-thun-chhiu7, chhun-kun)",
7464,chhun-thiⁿ,chhun-thinn,tshun-thinn,tshun-thinn,"Nt ",,,春天,spring (season),
7465,chhun-thû,chhun-thu5,tshun-thû,tshun-thu5,"N ",chiah,,中白鷺,"small egret, plumed egret, Egretta intermedia intermedia",
7466,chhun-thû,chhun-thu5,tshun-thû,tshun-thu5,"N ",chiah,,白鷺,"eastern great white egret, eastern large egret, Egretta alba modesta",
7467,chhun-ûn,chhun-un5,tshun-ûn,tshun-un5,"V ",,,伸懶腰,stretch one's limbs (as when tired),
7468,chhun-u̍t,chhun-ut8,tshun-u̍t,tshun-ut8,"N ",chiah,,尖尾鷸,"Siberian pectoral sandpiper (sharptailed stint), Calidris acuminata",
7469,chhún-pūn,chhun2-pun7,tshún-pūn,tshun2-pun7,"SV ",,,笨拙,"dull, silly, stupid",
7470,chhún-to̍k,chhun2-tok8,tshún-to̍k,tshun2-tok8,V R,,,忖度,examine into the purposes and thoughts of oneself or others,
7471,chhùn,chhun3,tshùn,tshun3,"M ",,,寸,"inch (Chinese), 3.03 cm.",
7472,chhùn-chháu-put-liû,chhun3-chhau2-put-liu5,tshùn-tsháu-put-liû,tshun3-tshau2-put-liu5,"Sph ",,,寸草不留,"destroy utterly (in warfare) ",
7473,chhùn-chhioh,chhun3-chhioh,tshùn-tshioh,tshun3-tshioh,"N ",,,尺寸,"size (linear measure), measurement",
7474,chhûn,chhun5,tshûn,tshun5,"V ",,,存,"keep sthg in reserve, be prepared <chhun5 au7-pou7 : keep sthg in reserve for the future>",
7475,chhûn,chhun5,tshûn,tshun5,"V ",,,尊,respect (the opinion of a worthy person),
7476,chhûn,chhun5,tshûn,tshun5,"V ",,,準備，存心，預料,"be likely to, prepare to",
7477,"Chhut, chhut","Chhut, chhut","Tshut, tshut","Tshut, tshut"," ",,,,,
7478,chhut,chhut,tshut,tshut,"V ",,,出,"(go) out, (come) out, issue (decree, receipt), start (feast), publish (book, etc), put forth (effort, riddle), play (a card), sprout (shoot), produce (foodstuffs, manufactures, etc)",
7479,chhut,chhut,tshut,tshut,"M ",,,齣,"show (movie, drama, etc)",
7480,Chhut Ai-ki̍p-kì,Chhut Ai-kip8-ki3,Tshut Ai-ki̍p-kì,Tshut Ai-kip8-ki3,"N Bib, Prot",pún,,出埃及記,Exodus (cf chhut-kok-ki3),
7481,chhut-bē,chhut-be7,tshut-bē,tshut-be7,"V ",,,出賣,sell (one's own soul),
7482,chhut-bē,chhut-be7,tshut-bē,tshut-be7,"V ",,,出賣,betray (one's country),
7483,chhut-bēng,chhut-beng7,tshut-bīng,tshut-bing7,"VO ",,,下令,issue an order,
7484,chhut-bīn,chhut-bin7,tshut-bīn,tshut-bin7,"VO ",,,出面,"appear, show up",
7485,chhut-bōe,chhut-boe7,tshut-buē,tshut-bue7,"V ",,,出賣,sell (one's own soul),
7486,chhut-bōe,chhut-boe7,tshut-buē,tshut-bue7,"V ",,,出賣,betray (one's country),
7487,chhut-chāi,chhut-chai7,tshut-tsāi,tshut-tsai7,"V ",,,隨便,"do as you / he please(s) or like(s), Its up to you / him (person)",
7488,chhut-cheng,chhut-cheng,tshut-tsing,tshut-tsing,"V ",,,出征,go into battle,
7489,chhut-chîⁿ,chhut-chinn5,tshut-tsînn,tshut-tsinn5,"VO ",,,出錢,"spend money, use money, put out money",
7490,chhut-chiàn,chhut-chian3,tshut-tsiàn,tshut-tsian3,"V ",,,出戰,go into battle,
7491,chhut-chiàu,chhut-chiau3,tshut-tsiàu,tshut-tsiau3,"VO ",,,頒佈聖旨,issue a decree,
7492,chhut-chín,chhut-chin2,tshut-tsín,tshut-tsin2,V Med,,,出診,make a house-call,
7493,chhut-chiòng,chhut-chiong3,tshut-tsiòng,tshut-tsiong3,"SV ",,,出眾,prominent (person),
7494,chhut-chiú,chhut-chiu2,tshut-tsiú,tshut-tsiu2,"VO ",,,酒醉嘔吐,vomit when drunk,
7495,chhut-cho͘,chhut-choo,tshut-tsoo,tshut-tsoo,"V ",,,出租,"rent out, hire out",
7496,chhut-chôaⁿ,chhut-choann5,tshut-tsuânn,tshut-tsuann5,"V ",,,流出水來,flow out (of water coming from some hidden source),
7497,chhut-chòng,chhut-chong3,tshut-tsòng,tshut-tsong3,"V ",,,出殯,carry out and bury,
7498,chhut-chu,chhut-chu,tshut-tsu,tshut-tsu,"VO ",,,出天花,break out with smallpox or chicken-pox,
7499,chhut-chu,chhut-chu,tshut-tsu,tshut-tsu,"VO ",,,出資,"finance (a business), put up capital",
7500,chhut-chúi,chhut-chui2,tshut-tsuí,tshut-tsui2,"VO ",,,出水了,seep out (water),
7501,chhut-chúi,chhut-chui2,tshut-tsuí,tshut-tsui2,"VO ",,,出海,transfer cargo from warehouse to ship,
7502,chhut-chhai,chhut-chhai,tshut-tshai,tshut-tshai,"V ",,,出差,"travel on official business, take a business trip",
7503,chhut-chhài,chhut-chhai3,tshut-tshài,tshut-tshai3,"VO ",,,上菜,"put the food on the table, bring in the food ",
7504,chhut-chhe,chhut-chhe,tshut-tshe,tshut-tshe,"V ",,,出差,"travel on official business, take a business trip",
7505,chhut-chhiú,chhut-chhiu2,tshut-tshiú,tshut-tshiu2,"VO ",,,出手,start sthg (freq. A fight!),
7506,chhut-gia̍h,chhut-giah8,tshut-gia̍h,tshut-giah8,"VO ",,,超額,"have more than enough, exceed",
7507,chhut-gia̍p,chhut-giap8,tshut-gia̍p,tshut-giap8,"V ",,,畢業,graduate (from a school or college),
7508,chhut-gōa,chhut-goa7,tshut-guā,tshut-gua7,"V ",,,外出,"leave home (on business, or for a trip), take a trip",
7509,chhut-hái,chhut-hai2,tshut-hái,tshut-hai2,"VO ",,,出海,put to sea (usually of fishing-boats),
7510,chhut-hè,chhut-he3,tshut-hè,tshut-he3,"VO ",,,上市,put a new products (on the market),
7511,chhut-hè,chhut-he3,tshut-hè,tshut-he3,"VO ",,,卸貨,unload cargo (from a ship),
7512,chhut-hiám,chhut-hiam2,tshut-hiám,tshut-hiam2,"VO ",,,脫險,"escape from danger, pass the danger-point",
7513,chhut-hiān,chhut-hian7,tshut-hiān,tshut-hian7,"V ",,,出現,"appear, become manifest, show up",
7514,chhut-hiān,chhut-hian7,tshut-hiān,tshut-hian7,"N ",,,出現,"appearance (showing up), emergence",
7515,chhut-hoat,chhut-hoat,tshut-huat,tshut-huat,"V ",,,出發,start (on a journey),
7516,chhut-hoat-tiám,chhut-hoat-tiam2,tshut-huat-tiám,tshut-huat-tiam2,"N ",,,出發點,starting-point,
7517,chhut-hoat-tiám,chhut-hoat-tiam2,tshut-huat-tiám,tshut-huat-tiam2,"N ",,,出發點,motive,
7518,chhut-hòe,chhut-hoe3,tshut-huè,tshut-hue3,"VO ",,,上市,put a new products (on the market),
7519,chhut-hòe,chhut-hoe3,tshut-huè,tshut-hue3,"VO ",,,卸貨,unload cargo (from a ship),
7520,chhut-hong-thâu,chhut-hong-thau5,tshut-hong-thâu,tshut-hong-thau5,"V ",,,出風頭,show off,
7521,chhut-hong-thâu,chhut-hong-thau5,tshut-hong-thâu,tshut-hong-thau5,"SV ",,,出風頭,ostentatious,
7522,chhut-huih,chhut-huih,tshut-huih,tshut-huih,"V ",,,出血,"hemorrhage, bleed",
7523,chhut-īⁿ,chhut-inn7,tshut-īnn,tshut-inn7,"VO ",,,出院,be discharged from a hospital,
7524,chhut-ian,chhut-ian,tshut-ian,tshut-ian,"VO ",,,冒煙,"emit smoke, emit steam",
7525,chhut-ián,chhut-ian2,tshut-ián,tshut-ian2,"V ",,,上演,act in a play or movie,
7526,chhut-iûⁿ,chhut-iunn5,tshut-iûnn,tshut-iunn5,"VO ",,,出國,go abroad,
7527,chhut-ji̍t,chhut-jit8,tshut-ji̍t,tshut-jit8,"VO ",,,太陽冒出來,the sun breaks through (the clouds),
7528,chhut-kaⁿ,chhut-kann,tshut-kann,tshut-kann,"VO ",,,出獄,"be released from prison, get out of jail",
7529,chhut-ke,chhut-ke,tshut-ke,tshut-ke,"VO ",,,出家,leave home and become monk or nun,
7530,chhut-kè,chhut-ke3,tshut-kè,tshut-ke3,"V ",,,出嫁,leave home and marry (a husband),
7531,chhut-kè,chhut-ke3,tshut-kè,tshut-ke3,"VO ",,,議價,"make an offer, and for a lower price (The purchaser's part of ""talking price"", cf kong2-ke3, khui-ke3)",
7532,chhut-keh,chhut-keh,tshut-keh,tshut-keh,"VO ",,,離譜,be out of place or position,
7533,chhut-keh,chhut-keh,tshut-keh,tshut-keh,"fig ",,,離譜,be out of order (in interfering in another's business),
7534,chhut-kéng-chèng,chhut-keng2-cheng3,tshut-kíng-tsìng,tshut-king2-tsing3,"N ",,,出境證,exit visa,
7535,chhut-kî,chhut-ki5,tshut-kî,tshut-ki5,"SV ",,,出奇,"strange, wonderful",
7536,chhut-kiⁿ,chhut-kinn,tshut-kinn,tshut-kinn,"VO ",,,生鹼,"cause an unpleasant flavor (tea leaves, when the tea has stood too long)",
7537,Chhut-kok-kì,Chhut-kok-ki3,Tshut-kok-kì,Tshut-kok-ki3,"N Bib, RC",pún,,出谷記,Exodus (cf Chhut Ai-kip8-ki3),
7538,chhut-kun,chhut-kun,tshut-kun,tshut-kun,"VO ",,,出兵,send troops (into battle),
7539,chhut-khan,chhut-khan,tshut-khan,tshut-khan,"VO ",,,出刊,publish (in periodicals),
7540,chhut-kháu,chhut-khau2,tshut-kháu,tshut-khau2,"VO ",,,出口,leave harbor,
7541,chhut-kháu,chhut-khau2,tshut-kháu,tshut-khau2,"V ",,,出口,export,
7542,chhut-kháu,chhut-khau2,tshut-kháu,tshut-khau2,"N ",,,出口,exit,
7543,chhut-khēng,chhut-kheng7,tshut-khīng,tshut-khing7,"VO ",,,現虹,rainbow appears,
7544,chhut-khîn,chhut-khin5,tshut-khîn,tshut-khin5,"VO ",,,上班,"go to the office, work (in an office)",
7545,chhut-khîn,chhut-khin5,tshut-khîn,tshut-khin5,"VO ",,,上班,"work (in a bar or tavern, cf chiu2-ka)",
7546,chhut-khùi,chhut-khui3,tshut-khuì,tshut-khui3,"VO ",,,出氣,vent one's anger on an innocent weaker person,
7547,chhut-khûn,chhut-khun5,tshut-khûn,tshut-khun5,"VO ",,,上班,"go to the office, work (in an office)",
7548,chhut-khûn,chhut-khun5,tshut-khûn,tshut-khun5,"VO ",,,上班,"work (in a bar or tavern, cf chiu2-ka)",
7549,chhut-la̍p,chhut-lap8,tshut-la̍p,tshut-lap8,"N ",ê,,出納,"cashier, teller",
7550,chhut-la̍t,chhut-lat8,tshut-la̍t,tshut-lat8,"VO ",,,出力,put forth (a physical) effort,
7551,chhut-la̍t,chhut-lat8,tshut-la̍t,tshut-lat8,"SV ",,,出力,with effort or strength,
7552,chhut-lūi,chhut-lui7,tshut-luī,tshut-lui7,"VO ",,,出類拔萃,"excel beyond one's fellows, be better than average",
7553,chhut-lūi,chhut-lui7,tshut-luī,tshut-lui7,"SV ",,,出類拔萃,"superior, above average (person)",
7554,chhut-miâ,chhut-mia5,tshut-miâ,tshut-mia5,"SV ",,,出名,"famous, renowned, well-known",
7555,chhut-mn̂g,chhut-mng5,tshut-mn̂g,tshut-mng5,"VO ",,,出門,"go out of doors, leave the house",
7556,chhut-môa,chhut-moa5,tshut-muâ,tshut-mua5,"VO ",,,出麻疹,break out with measles,
7557,chhut-pán,chhut-pan2,tshut-pán,tshut-pan2,"V ",,,出版,publish (books),
7558,chhut-pán-siong,chhut-pan2-siong,tshut-pán-siong,tshut-pan2-siong,"N ",ê,,出版商,publisher,
7559,chhut-pán-sòe,chhut-pan2-soe3,tshut-pán-suè,tshut-pan2-sue3,"N ",,,出版稅,publication royalties,
7560,chhut pò͘-kò,chhut poo3-ko3,tshut pòo-kò,tshut poo3-ko3,"VO ",,,出佈告,publish a notice,
7561,chhut-phâng,chhut-phang5,tshut-phâng,tshut-phang5,"VO ",,,揚帆,start a voyage,
7562,chhut-phia̍h (-á),chhut-phiah8 (-a2),tshut-phia̍h (-á),tshut-phiah8 (-a2),"VO ",,,出麻疹,break out with measles,
7563,chhut-phín,chhut-phin2,tshut-phín,tshut-phin2,"VO ",,,出品,manufacture products,
7564,chhut-phín,chhut-phin2,tshut-phín,tshut-phin2,"N ",,,出品,products of a company (cf chhut-san2),
7565,chhut-phòa,chhut-phoa3,tshut-phuà,tshut-phua3,"V ",,,露出破綻,"come to light, be found out",
7566,chhut-sai,chhut-sai,tshut-sai,tshut-sai,"VO ",,,出師,graduate from level of apprentice (sai-a2) to that of journeyman (sai-hu7),
7567,chhut-sán,chhut-san2,tshut-sán,tshut-san2,"V ",,,出產,"produce (goods, agricultural products, etc)",
7568,chhut-sán,chhut-san2,tshut-sán,tshut-san2,"N ",,,出產,"products (of a country, cf chhut-phin2)",
7569,chhut-sek,chhut-sek,tshut-sik,tshut-sik,"SV ",,,出色,"of harmonious color, of attractive of eyecatching color",
7570,chhut-sek,chhut-sek,tshut-sik,tshut-sik,"SV ",,,出色,"attractive or attention-claiming (of ability, performance, etc) (cf chhut-hong-thau5)",
7571,chhut-se̍k,chhut-sek8,tshut-si̍k,tshut-sik8,"VO ",,,出席,be present (at a meeting or in class),
7572,chhut-se̍k-phō͘,chhut-sek8-phoo7,tshut-si̍k-phōo,tshut-sik8-phoo7,"N ",pún,,出席簿,attendance record-book,
7573,chhut-se̍k-pió,chhut-sek8-pio2,tshut-si̍k-pió,tshut-sik8-pio2,"N ",tiuⁿ,,出席表,attendance record-slip or chart,
7574,chhut-sì,chhut-si3,tshut-sì,tshut-si3,"V ",,,出生,be born (into the world) (syn chhut-thai),
7575,chhut-sì-lāu-chháu,chhut-si3-lau7-chhau2,tshut-sì-lāu-tsháu,tshut-si3-lau7-tshau2,"N ",châng,,朱子草,Mollugo stricta,
7576,chhut-siaⁿ,chhut-siann,tshut-siann,tshut-siann,"VO ",,,出聲,utter a sound,
7577,chhut-sin,chhut-sin,tshut-sin,tshut-sin,"VO ",,,出身,"come from (a good family, a poor family, etc), hail from, be a graduate of (a certain school)",
7578,chhut-sin,chhut-sin,tshut-sin,tshut-sin,"N ",,,出身,"background (family, school, etc)",
7579,chhut-sîn,chhut-sin5,tshut-sîn,tshut-sin5,"SV ",,,出神,"lost in thought, engrossed, preoccupied",
7580,chhut-sîn,chhut-sin5,tshut-sîn,tshut-sin5,"VO ",,,出神,"be lost in thought, be engrossed, be preoccupied",
7581,chhut-siû,chhut-siu5,tshut-siû,tshut-siu5,"V ",,,出售,sell,
7582,chhut-soaⁿ,chhut-soann,tshut-suann,tshut-suann,"VO ",,,出殯,"take (the deceased) to the cemetery (in funeral procession, syn hoat-song 2)",
7583,chhut-sūi,chhut-sui7,tshut-suī,tshut-sui7,"VO ",,,出穗,"head out (of rice, wheat, etc forming ears or heads)",
7584,chhut-sûn,chhut-sun5,tshut-sûn,tshut-sun5,"V ",,,出巡,"make a tour of inspection (originally of the Emperor, now of idol in procession)",
7585,chhut-teng,chhut-teng,tshut-ting,tshut-ting,"VO ",,,添丁,have male descendants,
7586,chhut-têng,chhut-teng5,tshut-tîng,tshut-ting5,"VO ",,,出庭,attend court (judge),
7587,chhut-têng,chhut-teng5,tshut-tîng,tshut-ting5,"VO ",,,出庭,"appear in court (prisoner, witness)",
7588,chhut-tīn,chhut-tin7,tshut-tīn,tshut-tin7,"VO ",,,出陣,to into battle (as a line),
7589,chhut-tiuⁿ,chhut-tiunn,tshut-tiunn,tshut-tiunn,"V ",,,出差,"make an official trip, make a business trip",
7590,chhut-thai,chhut-thai,tshut-thai,tshut-thai,"VO ",,,出胎,"be born (from the womb, cf chhut-si3)",
7591,chhut-thâu,chhut-thau5,tshut-thâu,tshut-thau5,"VO ",,,出人頭地,become successful after great difficulty,
7592,chhut-thâu,chhut-thau5,tshut-thâu,tshut-thau5,"pNmod ",,,多一點,a little more (of quantities),
7593,chhut-thâu-thiⁿ,chhut-thau5-thinn,tshut-thâu-thinn,tshut-thau5-thinn,"VO ",,,熬出頭了,"become successful after great difficulty, enjoy the result of one's hard work",
7594,"E, e","E, e","E, e","E, e"," ",,,,,
7595,e,e,e,e,"V ",,,推,push (steadily or evenly),
7596,e,e,e,e,"V ",,,推,jostle (a person),
7597,e,e,e,e,"V ",,,推,"play (violin, cello, etc)",
7598,e,e,e,e,"V ",,,推,grind (with a handpowered mill) (cf sak),
7599,e-á,e-a2,e-á,e-a2,"N ",ê,,鍋,small earthen or metal pot (for cooking),
7600,e-á-chhài,e-a2-chhai3,e-á-tshài,e-a2-tshai3,"N ",châng,,蒿仔菜,"lettuce, Lactuca sativa",
7601,e-e tīn-tīn,e-e tin7-tin7,e-e tīn-tīn,e-e tin7-tin7,"V ",,,擁擠,crowd together,
7602,e-kheh,e-kheh,e-kheh,e-kheh,"V ",,,擁擠,jostle,
7603,e-kheh,e-kheh,e-kheh,e-kheh,"SV ",,e-e kheh-kheh,擁擠,"crowded (bus, etc)",
7604,e-lê,e-le5,e-lê,e-le5,"AP ",,e-e-lê-lê,易怒的,"cranky, fretful (young child)",
7605,é,e2,é,e2,"Attention claimer ",,"é-é, é-é-é",喂,Hey!,
7606,é,e2,é,e2,"SV ",,"é-é, é-é-é",矮,short (stature),
7607,é-á (-lâng),e2-a2 (-lang5),é-á (-lâng),e2-a2 (-lang5),"N ",ê,,矮子,"dwarf, dwarfed person",
7608,é-á (-lâng),e2-a2 (-lang5),é-á (-lâng),e2-a2 (-lang5),"N ",ê,,矮子,"person short for his age, rather short person",
7609,é-lâng,e2-lang5,é-lâng,e2-lang5,"N ",ê,,矮子,"(legendary) dwarf, one of the ""little people""",
7610,é-káu,e2-kau2,é-káu,e2-kau2,"N ",ê,,啞巴,dumb person,
7611,é-káu-ke̍k,e2-kau2-kek8,é-káu-ki̍k,e2-kau2-kik8,"N ","tiûⁿ, chut, pîⁿ",,啞劇,"dumb-show, pantomime",
7612,é-káu-kau,e2-kau2-kau,é-káu-kau,e2-kau2-kau,N Ich,bé,,啞吧鮫,"false cat-shark, Pseudotriakis acrages",
7613,é-káu-siaⁿ,e2-kau2-siann,é-káu-siann,e2-kau2-siann,"SV ",,é-káu-siaN-é-káu-siaN,沙啞聲,"having a dull sound (as a cracked bell or cup, or inferior silver), having a hoarse sound (as a child after long crying)",
7614,ê,e5,ê,e5,"M ",,,個,"M for persons, their names, titles, professions, relationships; clocks and watches, pots, stoves, faucets, coins, altars, bell-towers, procedures, processes, etc. (Unlike Kuoyü ge, however, it is not a general substitute for other measures)",
7615,ê,e5,ê,e5," ",,,的,"Attributive marker (may be used following almost any form or construction to form a nominal or attributive) <Goa2 ai3 hiah e5 ho2 e5 : I prefer those better ones>, <I si7 chin ai3 phah gou-lu2-huh e5 lang5 : He is an ardent golfer.> Possessive marker (fol",
7616,ê,e5,ê,e5,"N ","kha, siang",,鞋,shoe,
7617,ê-àm,e5-am3,ê-àm,e5-am3,"Nt ",,,今晚,"this evening, tonight (syn eng-am3)",
7618,ê-chū,e5-chu7,ê-tsū,e5-tsu7,"N ",tè,,鞋墊,insole,
7619,ê-hng,e5-hng,ê-hng,e5-hng,"Nt ",,,今晚,"this evening, tonight",
7620,ê-iû,e5-iu5,ê-iû,e5-iu5,"N ",,,鞋油,shoe polish,
7621,ê-té,e5-te2,ê-té,e5-te2,"N ",tè,,鞋底,shoe sole,
7622,ê-tiam,e5-tiam,ê-tiam,e5-tiam,"N ",ki,,鞋楦,shoemaker's last,
7623,ê-tòa,e5-toa3,ê-tuà,e5-tua3,"N ",tiâu,,鞋帶,shoelace,
7624,ē,e7,ē,e7,"AV ",,,會,"be able to, can (present or general statement, cf be7)",
7625,ē,e7,ē,e7,"AV ",,,會,"can possibly, will, will likely (future statement, cf be7)",
7626,ē,e7,ē,e7,"V ",,,會,"is (before SV signifying sthg speaker considers undesirable, cf be7, u7) <kam-a2 e7 sng : the orange is sour>",
7627,ē,e7,ē,e7,"M ",,,下,time (number of times something occurs) phah saN-e7 : strike three times,
7628,ē,e7,ē,e7,"M ",,,道,course (of a meal),
7629,ē-bīn,e7-bin7,ē-bīn,e7-bin7,"Np ",,,下面,"lower surface, below (cf e7-kha, e7-toe2 / te2)",
7630,ē-chàn,e7-chan3,ē-tsàn,e7-tsan3,"N ",,,下層,"lower layer, lower level",
7631,ē-chàn,e7-chan3,ē-tsàn,e7-tsan3,"N ",,,下層,"lower drawer, lower shelf",
7632,ē-chàn,e7-chan3,ē-tsàn,e7-tsan3,"N ",,,下層,lower storey,
7633,ē-chàn,e7-chan3,ē-tsàn,e7-tsan3,"N ",,,下層,lower class (of society),
7634,ē-chân,e7-chan5,ē-tsân,e7-tsan5,"N ",,,下層,"lower layer, lower level",
7635,ē-chân,e7-chan5,ē-tsân,e7-tsan5,"N ",,,下層,"lower drawer, lower shelf",
7636,ē-chân,e7-chan5,ē-tsân,e7-tsan5,"N ",,,下層,lower storey,
7637,ē-chân,e7-chan5,ē-tsân,e7-tsan5,"N ",,,下層,lower class (of society),
7638,ē-chat,e7-chat,ē-tsat,e7-tsat,"N ",,,下節,"forearm, lower leg, lower section (sugar-cane, etc)",
7639,ē-chò-tit,e7-cho3-tit,ē-tsò-tit,e7-tso3-tit,"Res ",,,可以,"Yes! OK! Can do! (cf e7-eng7-tit, e7-sai2-tit)",
7640,ē-chò-tit,e7-cho3-tit,ē-tsò-tit,e7-tso3-tit,"Vph ",,,可做,"can be done, is possible",
7641,ē-chōa,e7-choa7,ē-tsuā,e7-tsua7,"N ",,,下一行,"the line below, the next line",
7642,ē-chōa,e7-choa7,ē-tsuā,e7-tsua7,"Nt ",,,下次,next trip,
7643,ē-chhut,e7-chhut,ē-tshut,e7-tshut,"pVmod ",,,能,"able to, can",
7644,ē-ē-lé-pài,e7-e7-le2-pai3,ē-ē-lé-pài,e7-e7-le2-pai3,"Nt ",,,下下禮拜,the week after next (syn au7-au7-le2-pai3),
7645,ē-ēng-tit,e7-eng7-tit,ē-īng-tit,e7-ing7-tit,"Res ",,,可以,Yes! OK! Can do! (cf e7-sai2-tit),
7646,ē-ēng-tit,e7-eng7-tit,ē-īng-tit,e7-ing7-tit,"Vph ",,,可以用,"be fit for, can be used for, be all right for",
7647,ē-ēng-tit,e7-eng7-tit,ē-īng-tit,e7-ing7-tit,"AV ",,,可以,may (permission),
7648,ē-ge̍h,e7-geh8,ē-ge̍h,e7-geh8,"Nt ",,,下個月,next month,
7649,ē-goe̍h,e7-goeh8,ē-gue̍h,e7-gueh8,"Nt ",,,下個月,next month,
7650,ē-hâi,e7-hai5,ē-hâi,e7-hai5,"N ",ê,,下巴,lower jaw,
7651,ē-ham,e7-ham,ē-ham,e7-ham,"N ",,,下眼瞼,lower eyelid,
7652,ē-hiáu,e7-hiau2,ē-hiáu,e7-hiau2,"AV ",,,會,"know how to, be able to (do sthg that must be learned) (cf e7-khi3, e7-lai5)",
7653,ē-hoâi,e7-hoai5,ē-huâi,e7-huai5,"N ",ê,,下巴,lower jaw,
7654,ē-jīn-tit,e7-jin7-tit,ē-jīn-tit,e7-jin7-tit,"Vph ",,,認得,"recognize, can recognize, can be recognized",
7655,ē-ji̍p,e7-jip8,ē-ji̍p,e7-jip8,N Gram,,,下入,"lower ""entering"" tone, 8th tone",
7656,ē-kìⁿ,e7-kinn3,ē-kìnn,e7-kinn3,"pVmod ",,,明白,"able to, can (understand)",
7657,ē-kì-tit,e7-ki3-tit,ē-kì-tit,e7-ki3-tit,"Vph ",,,記得,"remember, can remember, not forget",
7658,ē-kìm-tit,e7-kim3-tit,ē-kìm-tit,e7-kim3-tit,"Vph ",,,止得住,"can stop (a habit, or some action in progress)",
7659,ē-kî,e7-ki5,ē-kî,e7-ki5,"Nt ",,,下一期,"the next period (of time), the next issue (of a periodical), the next episode (of a story)",
7660,ē-kò͘-tit,e7-koo3-tit,ē-kòo-tit,e7-koo3-tit,"AV ",,,注重,be concerned about <e7-kou3-tit chiah8 be7-kou3-tit chheng7 : (He's) more concerned about what he eats than what he wears>,
7661,ē-kù,e7-ku3,ē-kù,e7-ku3,"N ",,,下一句,"the next sentence, the following sentence",
7662,ē-kun,e7-kun,ē-kun,e7-kun,"N ",,,禍根,root or cause of the trouble,
7663,ē-kha,e7-kha,ē-kha,e7-kha,"N ",,,下面,"lower part, lower position (cf e7-bin7, e7-peng5, e7-toe2 / te2)",
7664,ē-kha-chân,e7-kha-chan5,ē-kha-tsân,e7-kha-tsan5,"N ",,,下一層,"lower layer, lower level",
7665,ē-kha-chân,e7-kha-chan5,ē-kha-tsân,e7-kha-tsan5,"N ",,,下一層,"lower drawer, lower shelf",
7666,ē-kha-chân,e7-kha-chan5,ē-kha-tsân,e7-kha-tsan5,"N ",,,下一層,lower storey,
7667,ē-kha-chân,e7-kha-chan5,ē-kha-tsân,e7-kha-tsan5,"N ",,,下一層,lower class (of society),
7668,ē-kha-chhiú,e7-kha-chhiu2,ē-kha-tshiú,e7-kha-tshiu2,"N ",ê,,部下,"assistant, person working under (a supervisor)",
7669,ē-kha-pô͘,e7-kha-poo5,ē-kha-pôo,e7-kha-poo5,"N ",,,縫邊,"hem (dress), cuff (trousers), etc",
7670,ē-kham-tit,e7-kham-tit,ē-kham-tit,e7-kham-tit,"Vph ",,,配得值得,"can bear, can stand (physical stress, cold weather, hard work) (cf e7-lun2-tit)",
7671,ē-kham-tit,e7-kham-tit,ē-kham-tit,e7-kham-tit,"AV ",,,配得值得,"in a position to, fit for, worthy to",
7672,ē-kham-tit,e7-kham-tit,ē-kham-tit,e7-kham-tit,"SV ",,,配得值得,worthy,
7673,ē-khí,e7-khi2,ē-khí,e7-khi2,"pVmod ",,,能,"able to, can (lift, carry, climb, etc)",
7674,ē-khí,e7-khi2,ē-khí,e7-khi2,"N ","khí,ki",,下齒,lower tooth,
7675,ē-khì,e7-khi3,ē-khì,e7-khi3,N Gram,,,下去,"lower ""going"" tone, 7th tone",
7676,ē-khì,e7-khi3,ē-khì,e7-khi3,"Vph ",,,會去,will go (simple future),
7677,ē-khì,e7-khi3,ē-khì,e7-khi3,"pVmod ",,,得完,"able to, can (ability, time, and amount of work, are just right) (cf e7-hiau2, e7-lai5)",
7678,ē-khò-tit,e7-kho3-tit,ē-khò-tit,e7-kho3-tit,"Vph ",,,靠得住,"can be trusted, be dependable",
7679,ē-khò-tit,e7-kho3-tit,ē-khò-tit,e7-kho3-tit,"SV ",,,靠得住,"trustworthy, dependable",
