id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
22849,n̂g-hoe-chhân-lō͘-chháu,ng5-hoe-chhan5-loo7-chhau2,n̂g-hue-tshân-lōo-tsháu,ng5-hue-tshan5-loo7-tshau2,"N ",châng,,黃花田路草,Wedelia chinensis,
22850,n̂g-hoe-chháu,ng5-hoe-chhau2,n̂g-hue-tsháu,ng5-hue-tshau2,"N ",châng,,黃花草,"a plant of the lettuce family, Ixeris oldhami",
22851,n̂g-hoe-siù-sòaⁿ-kiok,ng5-hoe-siu3-soann3-kiok,n̂g-hue-siù-suànn-kiok,ng5-hue-siu3-suann3-kiok,"N ",châng,,黃花繡線菊,"Taiwan bridal-wreath spirea, Spiraea prunifolia var. pseudo-prunifolia",
22852,n̂g-hóng-hut,ng5-hong2-hut,n̂g-hóng-hut,ng5-hong2-hut,N Ich,bé,,黃魚方魚弗,"any of several henera of deepwater gurnards or sea robins (fish), family Peristediidae",
22853,n̂g-hû,ng5-hu5,n̂g-hû,ng5-hu5,"N ",chiah,,瀆鳧,"ruddy sheldrake, Cascara ferruginea",
22854,n̂g-iâ-chí,ng5-ia5-chi2,n̂g-iâ-tsí,ng5-ia5-tsi2,"N ",châng,,黃椰子,"yellow palm, Chrysaldocarpus lutescens",
22855,n̂g-ian-jî,ng5-ian-ji5,n̂g-ian-jî,ng5-ian-ji5,"N ",chiah,,長爪白眉黃鶺鴒,"eastern bllue-headed wagtail, Motacilla flaya simillima",
22856,n̂g-iông-chhiū,ng5-iong5-chhiu7,n̂g-iông-tshiū,ng5-iong5-tshiu7,"N ",châng,,黃楊樹,"box tree, Buxus microphylla var. intermedia",
22857,n̂g-iû,ng5-iu5,n̂g-iû,ng5-iu5,"N ",chiah,,華南鼬鼠,"Chinesse mink, golden weasel, Mustela sibirica davidiana",
22858,n̂g-jia̍t-pīⁿ,ng5-jiat8-pinn7,n̂g-jia̍t-pīnn,ng5-jiat8-pinn7,"N ",,,黃熱病,yellow fever,
22859,n̂g-kài-khak-thâng,ng5-kai3-khak-thang5,n̂g-kài-khak-thâng,ng5-kai3-khak-thang5,N Ent,chiah,,黃介殼蟲,"fern scale, Pinnaspis aspidistrae",
22860,n̂g-kam,ng5-kam,n̂g-kam,ng5-kam,"N ","châng, lia̍p",,黃皮,"wampee, Clausena lausium",
22861,n̂g-ke-bó,ng5-ke-bo2,n̂g-ke-bó,ng5-ke-bo2,"N ",bé,,項圈鯛,"a fish of the seabream family, Symphorus spilurus",
22862,n̂g-kēng-iū,ng5-keng7-iu7,n̂g-kīng-iū,ng5-king7-iu7,"N ",chiah,,黃喉貂,"Formosan yellow-throated marten, Charronia flavigula chrusospila",
22863,n̂g-ki-hoe,ng5-ki-hoe,n̂g-ki-hue,ng5-ki-hue,"N ","châng, lúi",,重瓣黃梔花,"many-petaled cape-jasmine, Gardenia angusta",
22864,n̂g-kí,ng5-ki2,n̂g-kí,ng5-ki2,"N ",châng,,黃杞,"yellow basket-willow, Engelhardtia roxburghiana",
22865,n̂g-kì,ng5-ki3,n̂g-kì,ng5-ki3,"N ",bé,,縱帶笛鯛,"black-striped snapper, brown-striped snapper, Lutjanus vitta ",
22866,n̂g-kî,ng5-ki5,n̂g-kî,ng5-ki5,"N ",bé,,黃鰭鯛,"yellow-finned seabream fresh-water porgy, Sparus berda ",
22867,n̂g-kî-chhoàn,ng5-ki5-chhoan3,n̂g-kî-tshuàn,ng5-ki5-tshuan3,"N ",bé,,黃鰭鮪,"yellow-fin albacore, yellow-fin tuna, Neothunnus macropterus",
22868,n̂g-kî-la̍h,ng5-ki5-lah8,n̂g-kî-la̍h,ng5-ki5-lah8,"N ",bé,,黑鯛,"a kind of seabream, Sparus macrocephalus ",
22869,n̂g-kî-tiau,ng5-ki5-tiau,n̂g-kî-tiau,ng5-ki5-tiau,N Ich,bé,,黃鰭鯛,"yellow-finned seabream, fresh-water porgy, Sparus berda",
22870,n̂g-kim,ng5-kim,n̂g-kim,ng5-kim,"N ",,,黃金,gold,
