"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HanLoTaibunPoj","PageNumber"
"860","Chha̍t-á-chhiū","Chhat8-a2-chhiu7","Tsha̍t-á-tshiū","Tshat8-a2-tshiu7","賊仔樹","250"
"861","Soaⁿ-chhat","Soann-chhat","Suann-tshat","Suann-tshat","山漆","250"
"862","Sòe-hio̍h-soaⁿ-koah-chhài","Soe3-hioh8-soann-koah-chhai3","Suè-hio̍h-suann-kuah-tshài","Sue3-hioh8-suann-kuah-tshai3","細葉山葛菜","250"
"863","Soaⁿ-koah-chhài","Soann-koah-chhai3","Suann-kuah-tshài","Suann-kuah-tshai3","山葛菜","250"
"864","Pe̍h-bé-sái","Peh8-be2-sai2","Pe̍h-bé-sái","Peh8-be2-sai2","白馬屎","250"
"865","Saⁿ-kha-pih","Sann-kha-pih","Sann-kha-pih","Sann-kha-pih","三脚鼈","250"
"866","Saⁿ-pih-pí","Sann-pih-pi2","Sann-pih-pí","Sann-pih-pi2","三鼈比","250"
"867","Chhì-chhang","Chhi3-chhang","Tshì-tshang","Tshi3-tshang","刺葱","250"
"868","Tōa-hio̍h-chhì-chhang","Toa7-hioh8-chhi3-chhang","Tuā-hio̍h-tshì-tshang","Tua7-hioh8-tshi3-tshang","大葉刺葱","250"
"869","Âng-chh-chhang","Ang5-chh3-chhang","Âng-tsh-tshang","Ang5-tsh3-tshang","紅刺葱","250"
"870","Jîn-chhì-chhang","Jin5-chhi3-chhang","Jîn-tshì-tshang","Jin5-tshi3-tshang","仁刺葱","250"
"871","Chhì-kang-bó͘","Chhi3-kang-boo2","Tshì-kang-bóo","Tshi3-kang-boo2","刺江某、刺江栂","250"
"872","Chiáu-ta̍h-chhì","Chiau2-tah8-chhi3","Tsiáu-ta̍h-tshì","Tsiau2-tah8-tshi3","鳥踏刺","251"
"873","Pe̍h-bé-sái","Peh8-be2-sai2","Pe̍h-bé-sái","Peh8-be2-sai2","白馬屎","251"
"874","Kó͘-goa̍t-kun","Koo2-goat8-kun","Kóo-gua̍t-kun","Koo2-guat8-kun","古月根","251"
"875","Sang-bīn-chhì","Sang-bin7-chhi3","Sang-bīn-tshì","Sang-bin7-tshi3","雙面刺","251"
"876","Hau-khak-chhì","Hau-khak-chhi3","Hau-khak-tshì","Hau-khak-tshi3","鱟壳刺","251"
