"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"koe-cheng-á","koe-cheng-a2","kue-tsing-á","kue-tsing-a2","167"
"bah-bâ","bah-ba5","bah-bâ","bah-ba5","168"
"thô͘-pi-á","thoo5-pi-a2","thôo-pi-á","thoo5-pi-a2","169"
"thô͘-pi-pu","thoo5-pi-pu","thôo-pi-pu","thoo5-pi-pu","170"
"iáu-siū-kúi","iau2-siu7-kui2","iáu-siū-kuí","iau2-siu7-kui2","171"
"chhit-hō kám-á-tiàm","chhit-ho7 kam2-a2-tiam3","tshit-hō kám-á-tiàm","tshit-ho7 kam2-a2-tiam3","172"
"chhài-thâu-kóe","chhai3-thau5-koe2","tshài-thâu-kué","tshai3-thau5-kue2","173"
"chhài-thâu-ké","chhai3-thau5-ke2","tshài-thâu-ké","tshai3-thau5-ke2","173"
"khí ke-bó-phôe","khi2 ke-bo2-phoe5","khí ke-bó-phuê","khi2 ke-bo2-phue5","174"
"khí koe-bó-phê","khi2 koe-bo2-phe5","khí kue-bó-phê","khi2 kue-bo2-phe5","174"
"hoan-hoan","hoan-hoan","huan-huan","huan-huan","175"
"bū-sà-sà","bu7-sa3-sa3","bū-sà-sà","bu7-sa3-sa3","176"
"kán-ná pat khòaⁿ--kòe","kan2-na2 pat khoann3--koe3","kán-ná pat khuànn--kuè","kan2-na2 pat khuann3--kue3","177"
"sian-jîn-chióng","sian-jin5-chiong2","sian-jîn-tsióng","sian-jin5-tsiong2","178"
"sian-lîn-chióng","sian-lin5-chiong2","sian-lîn-tsióng","sian-lin5-tsiong2","178"
"sian-pa-chióng","sian-pa-chiong2","sian-pa-tsióng","sian-pa-tsiong2","179"
"sian-jîn-chháu","sian-jin5-chhau2","sian-jîn-tsháu","sian-jin5-tshau2","180"
"sian-lîn-chháu","sian-lin5-chhau2","sian-lîn-tsháu","sian-lin5-tshau2","180"
"chhì-kiû","chhi3-kiu5","tshì-kiû","tshi3-kiu5","181"
"kài-hóe-chháu","kai3-hoe2-chhau2","kài-hué-tsháu","kai3-hue2-tshau2","182"
"kài-hé-","kai3-he2-","kài-hé-","kai3-he2-","182"
"bah-kám niû-lé","bah-kam2 niu5-le2","bah-kám niû-lé","bah-kam2 niu5-le2","183"
"Tâi-gí","Tai5-gi2","Tâi-gí","Tai5-gi2","184"
"Tâi-gú","Tai5-gu2","Tâi-gú","Tai5-gu2","184"
"chéng-kah-chián-á","cheng2-kah-chian2-a2","tsíng-kah-tsián-á","tsing2-kah-tsian2-a2","185"
"kin-á-ji̍t siōng tùi-tâng","kin-a2-jit8 siong7 tui3-tang5","kin-á-ji̍t siōng tuì-tâng","kin-a2-jit8 siong7 tui3-tang5","186"
"sò͘ thiāu-á","soo3 thiau7-a2","sòo thiāu-á","soo3 thiau7-a2","187"
"ka-ná-bo͘","ka-na2-boo","ka-ná-boo","ka-na2-boo","188"
"bah-kám mē-á","bah-kam2 me7-a2","bah-kám mē-á","bah-kam2 me7-a2","189"
"pàng sán-khùi","pang3 san2-khui3","pàng sán-khuì","pang3 san2-khui3","190"
"tì-hūi-hêng chhiú-ki","ti3-hui7-heng5 chhiu2-ki","tì-huī-hîng tshiú-ki","ti3-hui7-hing5 tshiu2-ki","191"
"pin chú chīn hoan","pin chu2 chin7 hoan","pin tsú tsīn huan","pin tsu2 tsin7 huan","192"
"kin-á-ji̍t siōng tùi-tâng","kin-a2-jit8 siong7 tui3-tang5","kin-á-ji̍t siōng tuì-tâng","kin-a2-jit8 siong7 tui3-tang5","193"
"khiàm chi̍t kha","khiam3 chit8 kha","khiàm tsi̍t kha","khiam3 tsit8 kha","194"
"jiâu-sûn","jiau5-sun5","jiâu-sûn","jiau5-sun5","195"
"liâu-sûn","liau5-sun5","liâu-sûn","liau5-sun5","195"
"bīn-sek pe̍h-si","bin7-sek peh8-si","bīn-sik pe̍h-si","bin7-sik peh8-si","196"
"kin-ji̍t siāng kong-tō","kin-jit8 siang7 kong-to7","kin-ji̍t siāng kong-tō","kin-jit8 siang7 kong-to7","197"
"kin-li̍t siōng kong-tō","kin-lit8 siong7 kong-to7","kin-li̍t siōng kong-tō","kin-lit8 siong7 kong-to7","197"
"kin-á-ji̍t siōng súi-khùi","kin-a2-jit8 siong7 sui2-khui3","kin-á-ji̍t siōng súi-khùi","kin-a2-jit8 siong7 sui2-khui3","198"
"pho͘","phoo","phoo","phoo","199"
"kiàn-siàu bô té","kian3-siau3 bo5 te2","kiàn-siàu bô té","kian3-siau3 bo5 te2","200"
"kián-siàu bô tí-chí","kian2-siau3 bo5 ti2-chi2","kián-siàu bô tí-tsí","kian2-siau3 bo5 ti2-tsi2","201"
"phō͘ khì mo͘h","phoo7 khi3 mooh","phōo khì mooh","phoo7 khi3 mooh","202"
"bē-kham-tit hoân","be7-kham-tit hoan5","bē-kham-tit huân","be7-kham-tit huan5","203"
"Phīⁿ-khang-chiūⁿ","Phinn7-khang-chiunn7","Phīnn-khang-tsiūnn","Phinn7-khang-tsiunn7","204"
"Miāu-kap-á-chéng-chí","Miau7-kap-a2-cheng2-chi2","Miāu-kap-á-tsíng-tsí","Miau7-kap-a2-tsing2-tsi2","205"
"Miāu-kap-á-chháu","Miau7-kap-a2-chhau2","Miāu-kap-á-tsháu","Miau7-kap-a2-tshau2","206"
"Miāu-kap-á-hoe","Miau7-kap-a2-hoe","Miāu-kap-á-hue","Miau7-kap-a2-hue","207"
"Sió-hóe-liông","Sio2-hoe2-liong5","Sió-hué-liông","Sio2-hue2-liong5","208"
"bīn-sek pe̍h-sún-sún","bin7-sek peh8-sun2-sun2","bīn-sik pe̍h-sún-sún","bin7-sik peh8-sun2-sun2","209"
"hoe pe̍h-sut-sut","hoe peh8-sut-sut","hue pe̍h-sut-sut","hue peh8-sut-sut","210"
"í-á pe̍h sit-sit","i2-a2 peh8 sit-sit","í-á pe̍h sit-sit","i2-a2 peh8 sit-sit","211"
"chin giám-siâu","chin giam2-siau5","tsin giám-siâu","tsin giam2-siau5","212"
"băng-só͘-khó͘","bang9-soo2-khoo2","ba̋ng-sóo-khóo","bang9-soo2-khoo2","213"
"iân-tâu","ian5-tau5","iân-tâu","ian5-tau5","214"
"bah-phìⁿ-á","bah-phinn3-a2","bah-phìnn-á","bah-phinn3-a2","215"
"kek bīn-chhiuⁿ","kek bin7-chhiunn","kik bīn-tshiunn","kik bin7-tshiunn","216"
"kî-lîn-lo̍k","ki5-lin5-lok8","kî-lîn-lo̍k","ki5-lin5-lok8","217"
"sūn-sī","sun7-si7","sūn-sī","sun7-si7","218"
"Hóe-khióng-liông","Hoe2-khiong2-liong5","Hué-khióng-liông","Hue2-khiong2-liong5","219"
"Phùn-hóe-liông","Phun3-hoe2-liong5","Phùn-hué-liông","Phun3-hue2-liong5","220"
"Khah-mi-ku","Khah-mi-ku","Khah-mi-ku","Khah-mi-ku","221"
"Chúi-chìⁿ-ku","Chui2-chinn3-ku","Tsuí-tsìnn-ku","Tsui2-tsinn3-ku","222"
"Chheⁿ-chhì-mo͘-thâng","Chhenn-chhi3-moo-thang5","Tshenn-tshì-moo-thâng","Tshenn-tshi3-moo-thang5","223"
"Thih-kah-tāu","Thih-kah-tau7","Thih-kah-tāu","Thih-kah-tau7","224"
"Pa-tōa-ia̍h-á","Pa-toa7-iah8-a2","Pa-tuā-ia̍h-á","Pa-tua7-iah8-a2","225"
"To̍k-kak-thâng","Tok8-kak-thang5","To̍k-kak-thâng","Tok8-kak-thang5","226"
"Thih-khak-tāu","Thih-khak-tau7","Thih-khak-tāu","Thih-khak-tau7","227"
"Tōa-chiam-phang","Toa7-chiam-phang","Tuā-tsiam-phang","Tua7-tsiam-phang","228"
"Pho-pho","Pho-pho","Pho-pho","Pho-pho","229"
"Pí-pí-chiáu","Pi2-pi2-chiau2","Pí-pí-tsiáu","Pi2-pi2-tsiau2","230"
"Tōa-pí-chiáu","Toa7-pi2-chiau2","Tuā-pí-tsiáu","Tua7-pi2-tsiau2","231"
"Tōa-chhùi-chhiok","Toa7-chhui3-chhiok","Tuā-tshuì-tshiok","Tua7-tshui3-tshiok","232"
"A-poh-chôa","A-poh-choa5","A-poh-tsuâ","A-poh-tsua5","233"
"A-poh-koài","A-poh-koai3","A-poh-kuài","A-poh-kuai3","234"
"Lûi-khu","Lui5-khu","Luî-khu","Lui5-khu","235"
"chhiú-bóe-la̍t","chhiu2-boe2-lat8","tshiú-bué-la̍t","tshiu2-bue2-lat8","236"
"chhiú-bé-la̍t","chhiu2-be2-lat8","tshiú-bé-la̍t","tshiu2-be2-lat8","236"
"chiàn-kah-thâng","chian3-kah-thang5","tsiàn-kah-thâng","tsian3-kah-thang5","237"
"chhòng-siáⁿ","chhong3-siann2","tshòng-siánn","tshong3-siann2","238"
"pòaⁿ-soaⁿ-tó͘","poann3-soann-too2","puànn-suann-tóo","puann3-suann-too2","239"
