"poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","main_id"
"phīⁿ khòaⁿ bāi","phinn7 khoann3 bai7","phīnn khuànn bāi","phinn7 khuann3 bai7","141"
"ba̍k-chiap","bak8-chiap","ba̍k-tsiap","bak8-tsiap","142"
"ba̍k-sái","bak8-sai2","ba̍k-sái","bak8-sai2","143"
"ba̍k-chiu","bak8-chiu","ba̍k-tsiu","bak8-tsiu","144"
"chi̍t ba̍k nih-á","chit8 bak8 nih-a2","tsi̍t ba̍k nih-á","tsit8 bak8 nih-a2","145"
"ba̍k-iû","bak8-iu5","ba̍k-iû","bak8-iu5","146"
"ba̍k-bâi","bak8-bai5","ba̍k-bâi","bak8-bai5","147"
"ba̍k-chiu-mo͘","bak8-chiu-moo","ba̍k-tsiu-moo","bak8-tsiu-moo","148"
"ba̍k-chiu-jîn","bak8-chiu-jin5","ba̍k-tsiu-jîn","bak8-tsiu-jin5","149"
"ba̍k-chiu-phôe","bak8-chiu-phoe5","ba̍k-tsiu-phuê","bak8-tsiu-phue5","150"
"ba̍k-io̍h","bak8-ioh8","ba̍k-io̍h","bak8-ioh8","151"
"ba̍k-sái-ko","bak8-sai2-ko","ba̍k-sái-ko","bak8-sai2-ko","152"
"ba̍k-kiàⁿ","bak8-kiann3","ba̍k-kiànn","bak8-kiann3","153"
"kòa ba̍k-kiàⁿ","koa3 bak8-kiann3","kuà ba̍k-kiànn","kua3 bak8-kiann3","154"
"ba̍k-chhiūⁿ-sai-hū","bak8-chhiunn7-sai-hu7","ba̍k-tshiūnn-sai-hū","bak8-tshiunn7-sai-hu7","155"
"ba̍k-chúi","bak8-chui2","ba̍k-tsuí","bak8-tsui2","156"
"bak chúi","bak chui2","bak tsuí","bak tsui2","157"
"ba̍k-kia̍h","bak8-kiah8","ba̍k-kia̍h","bak8-kiah8","158"
"bān","ban7","bān","ban7","159"
"bān","ban7","bān","ban7","160"
"chi̍t pah bān","chit8 pah ban7","tsi̍t pah bān","tsit8 pah ban7","161"
"bān-it","ban7-it","bān-it","ban7-it","162"
"bān-liân pit","ban7-lian5 pit","bān-liân pit","ban7-lian5 pit","163"
"bán","ban2","bán","ban2","164"
"bán tê","ban2 te5","bán tê","ban2 te5","165"
"bán ông-lâi","ban2 ong5-lai5","bán ông-lâi","ban2 ong5-lai5","166"
"bán hoe","ban2 hoe","bán hue","ban2 hue","167"
"bán chhài","ban2 chhai3","bán tshài","ban2 tshai3","168"
"bân","ban5","bân","ban5","169"
"bāng","bang7","bāng","bang7","170"
"bāng-kìⁿ","bang7-kinn3","bāng-kìnn","bang7-kinn3","171"
"báng","bang2","báng","bang2","172"
"báng-á","bang2-a2","báng-á","bang2-a2","172"
"báng-tà","bang2-ta3","báng-tà","bang2-ta3","173"
"bāng-á","bang7-a2","bāng-á","bang7-a2","174"
"bāng-á-mn̂g","bang7-a2-mng5","bāng-á-mn̂g","bang7-a2-mng5","175"
"bāng-kiû","bang7-kiu5","bāng-kiû","bang7-kiu5","176"
"bāng","bang7","bāng","bang7","177"
"ū bāng","u7 bang7","ū bāng","u7 bang7","178"
"bô bāng","bo5 bang7","bô bāng","bo5 bang7","179"
"bat","bat","bat","bat","180"
"m̄-bat","m7-bat","m̄-bat","m7-bat","181"
"ba̍t-sat","bat8-sat","ba̍t-sat","bat8-sat","182"
"bat","bat","bat","bat","183"
"ba̍t","bat8","ba̍t","bat8","184"
"ba̍uh","bauh8","ba̍uh","bauh8","185"
"pau-pān","pau-pan7","pau-pān","pau-pan7","185"
"bē hiáu","be7 hiau2","bē hiáu","be7 hiau2","186"
"bé","be2","bé","be2","187"
"khiâ bé","khia5 be2","khiâ bé","khia5 be2","188"
"bé","be2","bé","be2","189"
"bē","be7","bē","be7","190"
"bé-bē","be2-be7","bé-bē","be2-be7","191"
"bē","be7","bē","be7","192"
"bē ēng--tit","be7 eng7--tit","bē īng--tit","be7 ing7--tit","193"
"bē-kì-tit","be7-ki3-tit","bē-kì-tit","be7-ki3-tit","194"
"bē sìn--tit","be7 sin3--tit","bē sìn--tit","be7 sin3--tit","195"
"bē jīn--tit","be7 jin7--tit","bē jīn--tit","be7 jin7--tit","196"
"bē-tàng","be7-tang3","bē-tàng","be7-tang3","197"
"bê-sìn","be5-sin3","bê-sìn","be5-sin3","198"
"bé-chô","be2-cho5","bé-tsô","be2-tso5","199"
"bé-tiâu","be2-tiau5","bé-tiâu","be2-tiau5","200"
"bē-tiâu","be7-tiau5","bē-tiâu","be7-tiau5","201"
"kì bē-tiâu","ki3 be7-tiau5","kì bē-tiâu","ki3 be7-tiau5","202"
"khó bē-tiâu","kho2 be7-tiau5","khó bē-tiâu","kho2 be7-tiau5","203"
"liâm bē-tiâu","liam5 be7-tiau5","liâm bē-tiâu","liam5 be7-tiau5","204"
