poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
to-chio̍h,to-chioh8,to-tsio̍h,to-tsioh8,95
cha̍p-chn̂g,chap8-chng5,tsa̍p-tsn̂g,tsap8-tsng5,96
si̍p-choân,sip8-choan5,si̍p-tsuân,sip8-tsuan5,97
peh-jī,peh-ji7,peh-jī,peh-ji7,98
poeh-lī,poeh-li7,pueh-lī,pueh-li7,98
chhit-jī-á,chhit-ji7-a2,tshit-jī-á,tshit-ji7-a2,99
chhit-lī-á,chhit-li7-a2,tshit-lī-á,tshit-li7-a2,99
si̍p-jī-kè,sip8-ji7-ke3,si̍p-jī-kè,sip8-ji7-ke3,100
si̍p-lī-kè,sip8-li7-ke3,si̍p-lī-kè,sip8-li7-ke3,100
pat-jī-kha,pat-ji7-kha,pat-jī-kha,pat-ji7-kha,101
pat-lī-kha,pat-li7-kha,pat-lī-kha,pat-li7-kha,101
si̍p-jī-lō͘,sip8-ji7-loo7,si̍p-jī-lōo,sip8-ji7-loo7,102
si̍p-lī-lō͘,sip8-li7-loo7,si̍p-lī-lōo,sip8-li7-loo7,102
chhit-chá-peh-chá,chhit-cha2-peh-cha2,tshit-tsá-peh-tsá,tshit-tsa2-peh-tsa2,103
chhit-chá-poeh-chá,chhit-cha2-poeh-cha2,tshit-tsá-pueh-tsá,tshit-tsa2-pueh-tsa2,103
ji̍p-ní,jip8-ni2,ji̍p-ní,jip8-ni2,104
li̍p-ní,lip8-ni2,li̍p-ní,lip8-ni2,104
to-bah,to-bah,to-bah,to-bah,105
chhit-lāu-peh-lāu,chhit-lau7-peh-lau7,tshit-lāu-peh-lāu,tshit-lau7-peh-lau7,106
chhit-lāu-poeh-lāu,chhit-lau7-poeh-lau7,tshit-lāu-pueh-lāu,tshit-lau7-pueh-lau7,106
liáu-bóe-á-kiáⁿ,liau2-boe2-a2-kiann2,liáu-bué-á-kiánn,liau2-bue2-a2-kiann2,107
liáu-bé-á-kiáⁿ,liau2-be2-a2-kiann2,liáu-bé-á-kiánn,liau2-be2-a2-kiann2,107
--jī-pō͘-chhit-á,--ji7-poo7-chhit-a2,--jī-pōo-tshit-á,--ji7-poo7-tshit-a2,108
--lī-pō͘-chhit-á,--li7-poo7-chhit-a2,--lī-pōo-tshit-á,--li7-poo7-tshit-a2,108
peh-kak,peh-kak,peh-kak,peh-kak,109
poeh-kak,poeh-kak,pueh-kak,pueh-kak,109
cha̍p-chiok,chap8-chiok,tsa̍p-tsiok,tsap8-tsiok,110
kiú-kiong-á,kiu2-kiong-a2,kiú-kiong-á,kiu2-kiong-a2,111
jîn-sū,jin5-su7,jîn-sū,jin5-su7,112
lîn-sū,lin5-su7,lîn-sū,lin5-su7,112
pat-kòa,pat-koa3,pat-kuà,pat-kua3,113
pok-kòa,pok-koa3,pok-kuà,pok-kua3,114
jī-pâng,ji7-pang5,jī-pâng,ji7-pang5,115
lī-pâng,li7-pang5,lī-pâng,li7-pang5,115
jîn-bu̍t,jin5-but8,jîn-bu̍t,jin5-but8,116
lîn-bu̍t,lin5-but8,lîn-bu̍t,lin5-but8,116
cha̍p-hoe-gō͘-sek,chap8-hoe-goo7-sek,tsa̍p-hue-gōo-sik,tsap8-hue-goo7-sik,117
ji̍p-mn̂g,jip8-mng5,ji̍p-mn̂g,jip8-mng5,118
li̍p-mn̂g,lip8-mng5,li̍p-mn̂g,lip8-mng5,118
lâng-kheh,lang5-kheh,lâng-kheh,lang5-kheh,119
liáu-aū,liau2-au7,liáu-āu,liau2-au7,120
chhit-chheⁿ,chhit-chhenn,tshit-tshenn,tshit-tshenn,121
chhit-chhiⁿ,chhit-chhinn,tshit-tshinn,tshit-tshinn,121
jī-cháiⁿ,ji7-chainn2,jī-tsáinn,ji7-tsainn2,122
lī-cháiⁿ,li7-chainn2,lī-tsáinn,li7-tsainn2,122
tiau-tî,tiau-ti5,tiau-tî,tiau-ti5,123
