poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,main_id
sian-lîn-chióng,sian-lin5-chiong2,sian-lîn-tsióng,sian-lin5-tsiong2,178
sian-pa-chióng,sian-pa-chiong2,sian-pa-tsióng,sian-pa-tsiong2,179
sian-jîn-chháu,sian-jin5-chhau2,sian-jîn-tsháu,sian-jin5-tshau2,180
sian-lîn-chháu,sian-lin5-chhau2,sian-lîn-tsháu,sian-lin5-tshau2,180
chhì-kiû,chhi3-kiu5,tshì-kiû,tshi3-kiu5,181
kài-hóe-chháu,kai3-hoe2-chhau2,kài-hué-tsháu,kai3-hue2-tshau2,182
kài-hé-,kai3-he2-,kài-hé-,kai3-he2-,182
bah-kám niû-lé,bah-kam2 niu5-le2,bah-kám niû-lé,bah-kam2 niu5-le2,183
Tâi-gí,Tai5-gi2,Tâi-gí,Tai5-gi2,184
Tâi-gú,Tai5-gu2,Tâi-gú,Tai5-gu2,184
chéng-kah-chián-á,cheng2-kah-chian2-a2,tsíng-kah-tsián-á,tsing2-kah-tsian2-a2,185
kin-á-ji̍t siōng tùi-tâng,kin-a2-jit8 siong7 tui3-tang5,kin-á-ji̍t siōng tuì-tâng,kin-a2-jit8 siong7 tui3-tang5,186
sò͘ thiāu-á,soo3 thiau7-a2,sòo thiāu-á,soo3 thiau7-a2,187
ka-ná-bo͘,ka-na2-boo,ka-ná-boo,ka-na2-boo,188
bah-kám mē-á,bah-kam2 me7-a2,bah-kám mē-á,bah-kam2 me7-a2,189
